machine,idle_power,breakdown_start,breakdown_end
0,5,521,534
0,5,563,567
0,5,698,698
0,5,1054,1054
0,5,1206,1217
0,5,1412,1447
0,5,1682,1694
0,5,1749,1757
0,5,1909,1924
0,5,2020,2026
0,5,2225,2229
0,5,2403,2405
0,5,2489,2538
0,5,2548,2548
0,5,2762,2772
0,5,3076,3085
0,5,3137,3153
0,5,3547,3547
0,5,3608,3609
0,5,3827,3843
0,5,3988,3991
0,5,4343,4352
0,5,4399,4403
0,5,4562,4582
0,5,4600,4600
0,5,4677,4683
1,6,122,124
1,6,411,423
1,6,527,527
1,6,1251,1252
1,6,1375,1410
1,6,2047,2048
1,6,2129,2129
1,6,2173,2174
1,6,2359,2368
1,6,2577,2582
1,6,2596,2604
1,6,2832,2840
1,6,3072,3074
1,6,3170,3181
1,6,3469,3470
1,6,3727,3730
1,6,3755,3759
1,6,3955,3960
1,6,4151,4170
1,6,4223,4227
1,6,4250,4265
1,6,4664,4666
2,1,1188,1202
2,1,1317,1326
2,1,1698,1701
2,1,2074,2092
2,1,2170,2174
2,1,2281,2286
2,1,2557,2557
2,1,2658,2672
2,1,2741,2741
2,1,2957,2960
2,1,3398,3399
2,1,3594,3596
2,1,3960,3971
2,1,4047,4055
2,1,4226,4246
2,1,4823,4852
2,1,4987,4987
3,7,43,55
3,7,190,215
3,7,1414,1437
3,7,1764,1766
3,7,1924,1930
3,7,2093,2094
3,7,2252,2257
3,7,2396,2421
3,7,2595,2628
3,7,2654,2662
3,7,2877,2893
3,7,2995,3009
3,7,3468,3468
3,7,3563,3596
3,7,3672,3676
3,7,3924,3928
3,7,3962,3965
3,7,4041,4049
3,7,4067,4083
3,7,4220,4220
3,7,4903,4907
4,4,15,21
4,4,119,123
4,4,237,246
4,4,567,567
4,4,669,693
4,4,867,896
4,4,923,943
4,4,1167,1170
4,4,1430,1435
4,4,1792,1801
4,4,1837,1837
4,4,1994,2003
4,4,2226,2227
4,4,2470,2474
4,4,2551,2561
4,4,2578,2585
4,4,2595,2605
4,4,2695,2695
4,4,2836,2862
4,4,2974,2985
4,4,3075,3089
4,4,3241,3247
4,4,3420,3423
4,4,3435,3447
4,4,3620,3623
4,4,3784,3805
4,4,3940,3953
4,4,4008,4036
4,4,4117,4117
4,4,4146,4148
4,4,4887,4906
5,6,65,67
5,6,206,214
5,6,937,937
5,6,992,993
5,6,1306,1349
5,6,1564,1566
5,6,1612,1616
5,6,2189,2219
5,6,2289,2297
5,6,2631,2646
5,6,2747,2747
5,6,2871,2874
5,6,2887,2898
5,6,2961,2983
5,6,3186,3187
5,6,3476,3492
5,6,3624,3645
5,6,3909,3916
5,6,4143,4166
5,6,4874,4876
6,7,110,118
6,7,620,635
6,7,1335,1345
6,7,1534,1535
6,7,1608,1608
6,7,1683,1683
6,7,1833,1838
6,7,2206,2215
6,7,2452,2454
6,7,2566,2583
6,7,2899,2916
6,7,2992,2992
6,7,3384,3401
6,7,3514,3518
6,7,3540,3541
6,7,3853,3871
6,7,4241,4255
6,7,4311,4335
6,7,4966,4975
7,5,99,99
7,5,176,184
7,5,304,304
7,5,632,647
7,5,705,705
7,5,1054,1076
7,5,1149,1187
7,5,1330,1334
7,5,1739,1739
7,5,1986,2006
7,5,2047,2069
7,5,2244,2244
7,5,2325,2325
7,5,2354,2361
7,5,2444,2455
7,5,2550,2550
7,5,2577,2583
7,5,2633,2634
7,5,2705,2714
7,5,2719,2723
7,5,2816,2825
7,5,3066,3080
7,5,3202,3202
7,5,3567,3573
7,5,3612,3628
7,5,3891,3901
7,5,4096,4104
7,5,4865,4871
8,4,405,410
8,4,927,933
8,4,1008,1015
8,4,1130,1133
8,4,1617,1624
8,4,1712,1720
8,4,1781,1794
8,4,1879,1897
8,4,2122,2143
8,4,2247,2261
8,4,2294,2297
8,4,2570,2570
8,4,2573,2576
8,4,2650,2651
8,4,2785,2794
8,4,3081,3081
8,4,3155,3159
8,4,3659,3660
8,4,3749,3767
8,4,3809,3818
8,4,3887,3893
8,4,4121,4125
8,4,4244,4245
8,4,4272,4274
8,4,4377,4395
8,4,4935,4935
8,4,4978,4985
9,7,234,236
9,7,294,303
9,7,416,445
9,7,555,586
9,7,611,618
9,7,931,932
9,7,1094,1122
9,7,1276,1283
9,7,1511,1544
9,7,1609,1629
9,7,1893,1907
9,7,1946,1996
9,7,2154,2163
9,7,2203,2215
9,7,3290,3307
9,7,3453,3456
9,7,3503,3533
9,7,3623,3627
9,7,3918,3927
9,7,4034,4037
9,7,4146,4162
9,7,4298,4302
9,7,4468,4484
9,7,4771,4794
