machine,idle_power,breakdown_start,breakdown_end
0,6,7,13
0,6,304,320
0,6,735,791
0,6,879,885
0,6,887,894
0,6,1070,1094
0,6,1098,1135
0,6,1291,1296
0,6,1867,1872
0,6,2116,2118
0,6,2273,2280
0,6,2301,2301
0,6,2804,2848
0,6,3033,3043
0,6,3193,3209
0,6,3370,3374
0,6,3593,3615
0,6,3698,3717
0,6,3901,3906
0,6,3994,4010
0,6,4059,4077
0,6,4196,4202
0,6,4402,4431
0,6,4601,4604
0,6,4891,4901
1,7,86,122
1,7,375,386
1,7,832,842
1,7,1008,1010
1,7,1379,1387
1,7,1419,1424
1,7,1439,1464
1,7,1596,1614
1,7,1686,1687
1,7,1716,1732
1,7,1783,1785
1,7,1858,1861
1,7,2185,2197
1,7,2316,2326
1,7,2580,2581
1,7,2664,2677
1,7,2677,2684
1,7,2852,2852
1,7,3558,3568
1,7,4164,4172
1,7,4235,4237
1,7,4354,4360
1,7,4462,4463
1,7,4557,4559
1,7,4844,4851
2,5,133,145
2,5,527,541
2,5,605,611
2,5,807,808
2,5,824,830
2,5,869,869
2,5,1039,1053
2,5,1141,1144
2,5,1384,1392
2,5,1420,1423
2,5,1523,1535
2,5,1622,1625
2,5,1914,1921
2,5,2078,2083
2,5,2089,2090
2,5,2193,2202
2,5,2476,2477
2,5,2940,2948
2,5,2978,2987
2,5,3368,3370
2,5,3511,3520
2,5,3530,3536
2,5,3565,3567
2,5,3646,3651
2,5,3700,3707
2,5,3802,3814
2,5,3850,3853
2,5,3926,3954
2,5,3991,3998
2,5,4115,4119
2,5,4484,4497
2,5,4585,4591
2,5,4794,4812
3,5,279,297
3,5,327,350
3,5,461,476
3,5,2259,2267
3,5,2335,2337
3,5,2637,2652
3,5,2795,2798
3,5,3147,3160
3,5,3462,3462
3,5,3603,3621
3,5,3663,3668
3,5,3853,3859
3,5,3982,3996
3,5,4557,4566
3,5,4707,4712
3,5,4818,4819
3,5,4897,4917
4,6,286,289
4,6,341,341
4,6,341,345
4,6,722,736
4,6,867,879
4,6,1136,1141
4,6,1149,1149
4,6,1809,1818
4,6,1944,1971
4,6,2068,2070
4,6,2303,2306
4,6,2309,2320
4,6,2377,2402
4,6,2613,2616
4,6,2655,2660
4,6,2774,2782
4,6,2784,2797
4,6,3482,3493
4,6,3525,3540
4,6,3686,3689
4,6,3700,3714
4,6,3936,3947
4,6,4093,4099
4,6,4263,4274
4,6,4766,4766
4,6,4772,4773
5,5,7,11
5,5,238,251
5,5,440,451
5,5,507,512
5,5,654,674
5,5,1001,1001
5,5,1146,1156
5,5,1697,1709
5,5,2185,2207
5,5,2236,2238
5,5,2333,2341
5,5,2533,2533
5,5,2635,2643
5,5,2754,2757
5,5,2766,2766
5,5,2834,2835
5,5,2844,2845
5,5,2950,3005
5,5,3461,3476
5,5,3849,3850
5,5,3850,3861
5,5,4005,4019
5,5,4309,4323
5,5,4498,4506
5,5,4618,4620
5,5,4899,4899
5,5,4933,4946
6,8,93,103
6,8,310,331
6,8,429,458
6,8,568,583
6,8,1193,1194
6,8,1261,1268
6,8,1323,1324
6,8,1641,1641
6,8,2234,2239
6,8,2710,2715
6,8,2743,2755
6,8,2878,2888
6,8,2919,2933
6,8,2965,2980
6,8,3025,3039
6,8,3087,3089
6,8,3163,3174
6,8,3462,3466
6,8,3567,3628
6,8,3865,3883
6,8,3897,3904
6,8,4004,4033
6,8,4217,4218
6,8,4261,4280
6,8,4477,4478
6,8,4515,4518
6,8,4773,4773
6,8,4907,4908
7,4,35,41
7,4,49,54
7,4,503,528
7,4,868,873
7,4,948,954
7,4,1097,1111
7,4,1147,1172
7,4,2000,2002
7,4,2084,2087
7,4,2658,2679
7,4,2696,2715
7,4,2835,2837
7,4,2918,2924
7,4,3362,3364
7,4,3654,3664
7,4,3673,3683
7,4,3695,3699
7,4,3944,3964
7,4,4138,4148
7,4,4314,4319
7,4,4689,4696
7,4,4822,4824
8,9,104,104
8,9,922,930
8,9,1069,1078
8,9,1397,1415
8,9,1662,1663
8,9,1804,1842
8,9,1847,1859
8,9,2329,2355
8,9,2416,2422
8,9,2477,2479
8,9,2531,2533
8,9,2542,2559
8,9,2564,2570
8,9,2630,2643
8,9,3124,3138
8,9,4092,4095
8,9,4110,4113
8,9,4155,4161
8,9,4192,4192
8,9,4383,4386
8,9,4831,4834
9,3,266,274
9,3,328,329
9,3,482,485
9,3,508,549
9,3,1039,1047
9,3,1237,1247
9,3,1248,1249
9,3,1356,1356
9,3,1506,1506
9,3,1633,1646
9,3,1727,1747
9,3,2246,2249
9,3,2257,2258
9,3,2311,2316
9,3,2357,2358
9,3,2365,2368
9,3,2425,2440
9,3,2469,2471
9,3,2479,2497
9,3,2497,2504
9,3,2598,2603
9,3,2771,2823
9,3,3287,3289
9,3,3392,3396
9,3,3632,3637
9,3,3949,3958
9,3,4323,4327
9,3,4370,4373
9,3,4682,4737
9,3,4806,4839
9,3,4949,4956
