kind,task,machine_selectable,process_time,power
0,0,"(9, 2, 6, 5)","(6, 7, 12, 16)","(161, 132, 83, 89)"
0,1,"(4, 3)","(19, 4)","(143, 171)"
0,2,"(1, 2, 5)","(14, 16, 17)","(200, 138, 73)"
0,3,"(7, 1, 8, 5, 0, 3, 9, 4)","(10, 4, 3, 17, 7, 2, 11, 8)","(185, 178, 91, 200, 32, 152, 99, 103)"
0,4,"(7,)","(19,)","(136,)"
0,5,"(3, 0, 7, 1, 9, 8, 4, 2, 5, 6)","(12, 3, 14, 2, 16, 13, 17, 19, 14, 10)","(130, 16, 128, 130, 194, 138, 182, 151, 142, 30)"
0,6,"(6,)","(5,)","(187,)"
0,7,"(4, 2, 3, 7, 9)","(19, 20, 6, 2, 9)","(31, 178, 166, 83, 169)"
0,8,"(4, 8)","(7, 8)","(38, 65)"
0,9,"(3,)","(15,)","(101,)"
1,0,"(6, 2)","(20, 18)","(136, 20)"
1,1,"(4, 0, 5, 1, 2, 9, 8)","(16, 9, 3, 13, 11, 4, 7)","(172, 94, 116, 175, 111, 121, 174)"
1,2,"(0, 3, 4, 7, 2, 6, 9, 8, 5)","(5, 10, 4, 3, 19, 8, 12, 6, 10)","(43, 97, 50, 138, 41, 149, 41, 165, 181)"
1,3,"(6, 7, 4, 2, 9, 5, 8, 1, 0, 3)","(11, 16, 5, 19, 6, 9, 3, 19, 8, 6)","(151, 78, 113, 129, 91, 103, 109, 90, 37, 78)"
1,4,"(6, 5)","(3, 3)","(23, 91)"
1,5,"(9, 1, 0, 2, 7, 5)","(3, 2, 15, 12, 20, 10)","(61, 174, 174, 188, 42, 39)"
2,0,"(8, 7, 1)","(10, 7, 19)","(164, 24, 189)"
2,1,"(7, 4, 8, 6)","(7, 5, 6, 20)","(167, 22, 91, 117)"
2,2,"(7, 1, 0, 8, 9, 3, 5)","(19, 13, 13, 3, 11, 9, 7)","(30, 54, 163, 76, 20, 109, 91)"
2,3,"(6, 3, 8, 9, 1, 7, 4, 2, 5)","(11, 15, 15, 11, 20, 10, 9, 4, 9)","(127, 77, 101, 176, 159, 116, 62, 109, 92)"
2,4,"(7, 4, 8, 6, 1)","(18, 1, 10, 17, 15)","(161, 146, 195, 135, 81)"
2,5,"(8, 7, 2, 9, 1, 4, 0, 5, 6, 3)","(17, 11, 5, 6, 8, 1, 15, 19, 20, 12)","(30, 11, 58, 162, 137, 120, 121, 149, 40, 184)"
2,6,"(2, 6, 8, 5)","(6, 2, 13, 15)","(36, 12, 83, 123)"
3,0,"(2, 5, 0, 6, 3)","(10, 20, 9, 9, 6)","(125, 78, 180, 76, 119)"
3,1,"(0, 5, 1, 7, 8, 3)","(16, 10, 18, 10, 17, 18)","(147, 124, 53, 89, 84, 122)"
3,2,"(6, 3, 0, 9)","(9, 13, 6, 5)","(189, 27, 119, 92)"
3,3,"(7, 0, 9, 1, 8, 4, 2, 6)","(4, 8, 6, 4, 1, 14, 2, 3)","(106, 47, 133, 33, 80, 138, 32, 43)"
3,4,"(9, 4, 5, 8, 6, 1, 2, 3, 7)","(18, 15, 3, 1, 11, 14, 11, 12, 1)","(109, 42, 15, 115, 191, 67, 77, 53, 85)"
4,0,"(8, 9, 2, 0, 5, 7, 3, 1, 4)","(18, 4, 7, 7, 2, 9, 8, 18, 2)","(124, 108, 155, 14, 158, 100, 64, 18, 159)"
4,1,"(9, 7, 0, 3, 1, 8, 5)","(15, 10, 19, 16, 18, 12, 8)","(10, 32, 152, 175, 58, 180, 158)"
4,2,"(1, 8)","(14, 15)","(123, 77)"
4,3,"(3, 5, 8, 4)","(13, 10, 12, 15)","(45, 42, 140, 129)"
4,4,"(0, 6)","(5, 4)","(42, 90)"
4,5,"(9, 5, 1, 2, 6, 0, 7, 3, 8)","(8, 20, 10, 15, 3, 4, 8, 2, 10)","(136, 166, 92, 85, 79, 70, 187, 23, 58)"
4,6,"(3, 2, 7, 9)","(9, 2, 15, 3)","(108, 132, 60, 19)"
4,7,"(6, 1, 9)","(19, 18, 8)","(101, 194, 61)"
4,8,"(6, 8, 7, 9, 0, 1, 2, 5, 3, 4)","(9, 19, 11, 9, 2, 11, 8, 10, 19, 2)","(107, 175, 87, 80, 161, 52, 154, 150, 56, 93)"
4,9,"(7, 8, 1)","(10, 14, 4)","(15, 56, 69)"
5,0,"(1, 7, 9, 3, 5, 0, 8)","(6, 4, 15, 11, 1, 13, 5)","(124, 198, 86, 69, 84, 156, 30)"
5,1,"(8, 5, 3, 2, 6, 9, 0, 1)","(16, 5, 15, 12, 8, 4, 16, 5)","(14, 47, 91, 49, 35, 42, 93, 176)"
5,2,"(0, 3, 1, 8)","(13, 15, 6, 8)","(104, 129, 88, 147)"
5,3,"(8, 5, 9, 3, 0, 7, 4, 1)","(10, 19, 3, 17, 16, 16, 13, 6)","(43, 165, 103, 145, 41, 31, 158, 38)"
5,4,"(5, 4, 3, 1, 0, 6, 9, 2)","(7, 20, 15, 2, 13, 17, 1, 4)","(29, 174, 153, 131, 69, 98, 161, 69)"
5,5,"(9, 7, 3, 6, 0, 8, 1, 2, 5, 4)","(4, 18, 1, 3, 15, 19, 11, 6, 18, 19)","(127, 45, 149, 120, 187, 134, 148, 102, 30, 47)"
5,6,"(6, 7, 3, 0, 1)","(6, 13, 2, 6, 11)","(183, 136, 125, 92, 177)"
6,0,"(2, 1, 3, 9, 7)","(17, 6, 5, 8, 19)","(99, 121, 69, 140, 63)"
6,1,"(5, 3, 4, 8, 0, 9, 6, 1, 2, 7)","(5, 13, 6, 10, 8, 14, 7, 11, 18, 18)","(194, 81, 118, 85, 54, 30, 174, 101, 68, 10)"
6,2,"(2, 7, 1, 6, 0, 3, 9, 8)","(12, 9, 18, 2, 1, 17, 19, 2)","(93, 156, 175, 164, 106, 113, 59, 76)"
6,3,"(8, 3, 6, 7, 0, 4)","(13, 3, 20, 12, 6, 5)","(85, 139, 102, 186, 163, 81)"
6,4,"(6, 8, 7, 0, 3, 1, 2, 4, 5)","(10, 8, 8, 12, 5, 13, 15, 20, 3)","(106, 115, 120, 40, 87, 107, 34, 169, 36)"
7,0,"(2, 7, 9, 5, 0, 1)","(17, 5, 11, 16, 4, 7)","(146, 186, 80, 167, 80, 171)"
7,1,"(0, 7, 3)","(2, 20, 15)","(183, 97, 185)"
7,2,"(9, 5, 1, 2, 3)","(2, 14, 11, 1, 7)","(51, 166, 173, 125, 200)"
7,3,"(9, 0, 8, 1)","(17, 17, 8, 3)","(61, 95, 160, 128)"
7,4,"(3, 2, 4, 0, 1, 8, 6, 7, 9)","(20, 9, 10, 5, 12, 16, 15, 2, 14)","(161, 11, 66, 159, 78, 39, 174, 14, 171)"
7,5,"(9, 5, 7)","(7, 1, 2)","(95, 105, 136)"
7,6,"(6, 8, 7, 2, 9, 3)","(4, 20, 18, 14, 9, 5)","(18, 100, 157, 122, 167, 178)"
8,0,"(6, 9)","(20, 9)","(100, 96)"
8,1,"(5, 6, 1, 8)","(7, 4, 6, 19)","(167, 85, 187, 99)"
