kind,task,machine_selectable,process_time,power
0,0,"(5, 0, 12, 7, 8, 14, 10, 13, 1, 11, 3, 2, 6, 9)","(14, 17, 10, 5, 4, 3, 19, 16, 16, 16, 19, 10, 1, 11)","(35, 17, 21, 51, 197, 95, 147, 26, 110, 47, 121, 62, 27, 92)"
0,1,"(1, 13, 4, 9, 0, 12, 11)","(7, 19, 18, 10, 10, 6, 15)","(125, 184, 193, 119, 82, 24, 51)"
0,2,"(1, 10, 2, 11, 12, 8, 14, 6, 7, 9, 3)","(1, 11, 4, 8, 13, 16, 3, 15, 3, 15, 20)","(20, 75, 74, 118, 61, 85, 180, 43, 14, 112, 11)"
0,3,"(9, 14, 7, 2, 8, 12, 10, 13, 1, 6, 11, 0)","(15, 11, 8, 18, 8, 18, 1, 10, 4, 12, 5, 2)","(195, 137, 148, 119, 71, 145, 135, 69, 18, 164, 101, 61)"
0,4,"(7, 10, 11)","(11, 3, 14)","(167, 128, 15)"
1,0,"(3, 6, 11, 5, 14, 10, 0, 8, 7)","(11, 16, 19, 3, 14, 17, 9, 20, 18)","(124, 160, 20, 144, 65, 37, 45, 34, 98)"
1,1,"(6, 4, 3, 9)","(17, 10, 8, 2)","(115, 39, 175, 123)"
1,2,"(0, 2, 1, 11, 13, 4, 10, 5, 14, 8, 12)","(17, 18, 14, 6, 6, 6, 18, 12, 6, 14, 10)","(161, 119, 120, 148, 38, 175, 138, 52, 71, 69, 46)"
1,3,"(3, 6, 14, 11, 9, 0, 2, 8, 12, 7)","(3, 1, 9, 12, 9, 4, 14, 2, 14, 18)","(70, 44, 125, 47, 54, 155, 161, 164, 169, 73)"
1,4,"(13, 3, 0, 10, 7, 1, 12)","(18, 5, 2, 20, 17, 14, 6)","(43, 102, 182, 163, 107, 24, 21)"
1,5,"(1, 5, 13, 10, 6)","(7, 5, 2, 11, 6)","(116, 106, 131, 95, 187)"
1,6,"(3, 5, 10, 1, 11, 7, 0, 4, 13, 14, 2, 12, 8, 9)","(13, 15, 15, 16, 4, 4, 13, 5, 3, 1, 6, 1, 17, 12)","(82, 50, 184, 100, 68, 172, 142, 42, 188, 121, 68, 190, 82, 50)"
1,7,"(13, 14, 7, 4, 3, 12, 0, 6, 1, 10, 5, 11)","(7, 20, 16, 3, 1, 11, 17, 5, 13, 2, 14, 19)","(197, 152, 27, 141, 47, 50, 141, 60, 115, 32, 84, 131)"
2,0,"(6, 0, 8, 5, 1, 10)","(12, 17, 2, 4, 8, 13)","(34, 142, 89, 139, 116, 178)"
2,1,"(11, 1, 14, 7, 13, 4, 2)","(19, 17, 10, 5, 13, 13, 11)","(91, 94, 176, 95, 22, 45, 38)"
2,2,"(12, 10, 0, 13, 11, 6, 4, 2, 5, 7, 3, 9, 14, 8, 1)","(2, 10, 20, 17, 8, 13, 7, 12, 2, 17, 10, 18, 13, 18, 16)","(20, 43, 123, 145, 191, 10, 117, 106, 16, 164, 177, 32, 117, 164, 180)"
2,3,"(9, 1, 7, 2, 0, 13)","(14, 18, 6, 11, 13, 19)","(89, 142, 16, 10, 11, 92)"
2,4,"(1, 12, 13, 5, 10, 6)","(16, 5, 10, 3, 2, 14)","(154, 83, 87, 112, 114, 118)"
2,5,"(3, 8, 2, 5, 9, 14, 11, 1, 6, 7, 4, 13, 12)","(19, 1, 15, 19, 10, 9, 11, 13, 20, 17, 2, 17, 18)","(158, 195, 125, 128, 118, 196, 119, 97, 112, 166, 52, 165, 68)"
