kind,task,machine_selectable,process_time,power
0,0,"(12, 3, 7, 10, 4, 13)","(12, 11, 20, 8, 11, 10)","(102, 165, 143, 153, 130, 40)"
0,1,"(13, 12, 8)","(17, 13, 1)","(161, 49, 64)"
0,2,"(0, 3, 6)","(8, 11, 1)","(199, 59, 97)"
0,3,"(7, 13, 11, 14)","(5, 20, 3, 13)","(177, 120, 55, 41)"
0,4,"(14, 2, 9, 11, 3, 10)","(8, 4, 4, 4, 9, 14)","(91, 162, 120, 128, 30, 149)"
0,5,"(8, 7, 13, 6, 3, 4, 12)","(11, 19, 11, 12, 4, 16, 17)","(23, 158, 142, 150, 54, 165, 69)"
0,6,"(13, 4, 10, 8, 14, 0, 11, 7, 9)","(9, 3, 19, 17, 13, 6, 13, 18, 3)","(128, 107, 119, 116, 163, 40, 142, 26, 120)"
0,7,"(13, 14, 8, 10, 5, 4, 0, 12, 7, 9)","(19, 4, 14, 19, 15, 3, 9, 18, 19, 6)","(62, 106, 67, 147, 58, 63, 176, 34, 118, 147)"
1,0,"(10, 3, 7, 9, 11, 8, 0, 12, 2, 6, 13, 5, 4, 14)","(12, 1, 19, 20, 19, 9, 13, 10, 17, 3, 8, 8, 1, 6)","(107, 121, 111, 114, 40, 128, 84, 65, 98, 97, 19, 158, 73, 85)"
1,1,"(3, 12, 9, 5, 2, 1, 6)","(19, 13, 6, 6, 6, 14, 8)","(163, 75, 57, 114, 183, 135, 79)"
1,2,"(12, 11, 0, 10, 7, 8, 5, 3, 9, 6)","(15, 9, 9, 9, 15, 5, 8, 17, 14, 6)","(80, 102, 63, 118, 31, 77, 161, 27, 177, 71)"
1,3,"(4,)","(8,)","(150,)"
1,4,"(14, 10)","(3, 11)","(175, 77)"
1,5,"(11, 10, 3, 8, 1, 4, 7, 9, 6, 14, 13, 5, 0, 12, 2)","(10, 19, 3, 7, 3, 15, 2, 1, 8, 8, 19, 5, 5, 13, 1)","(195, 103, 162, 52, 137, 141, 143, 47, 11, 135, 169, 36, 41, 83, 49)"
