kind,task,machine_selectable,process_time,power
0,0,"(14, 0, 10, 13, 6, 11)","(8, 19, 11, 18, 19, 12)","(176, 11, 99, 63, 38, 89)"
0,1,"(11, 10, 14, 9, 5, 1, 3, 0, 13, 12, 7, 4, 8)","(20, 3, 5, 2, 16, 5, 10, 19, 9, 12, 3, 1, 10)","(53, 94, 178, 71, 113, 76, 86, 126, 167, 44, 83, 161, 97)"
0,2,"(13, 1, 8, 14, 10, 5, 9, 4)","(1, 2, 19, 19, 5, 8, 12, 10)","(67, 162, 160, 23, 114, 95, 178, 50)"
0,3,"(11, 9, 0, 2, 6)","(3, 6, 6, 3, 11)","(36, 41, 183, 77, 187)"
0,4,"(0, 6, 13, 14, 8, 4, 12)","(4, 3, 11, 16, 7, 4, 15)","(170, 17, 117, 16, 164, 21, 138)"
0,5,"(6, 4, 13, 9, 7)","(14, 18, 9, 15, 4)","(175, 116, 59, 128, 64)"
0,6,"(1, 2, 9, 10, 8, 3, 0, 12, 7)","(6, 1, 8, 11, 14, 4, 16, 3, 8)","(170, 136, 26, 38, 91, 188, 117, 39, 185)"
0,7,"(13, 0, 10, 6, 3)","(17, 11, 12, 14, 14)","(102, 18, 140, 149, 158)"
0,8,"(9, 4, 6, 12, 14, 10, 0, 2, 8, 13, 7, 3, 1, 11, 5)","(4, 3, 19, 17, 12, 17, 16, 17, 17, 18, 10, 8, 20, 19, 16)","(31, 193, 99, 155, 154, 193, 194, 93, 181, 156, 188, 16, 22, 129, 30)"
0,9,"(9, 6, 10, 14, 7, 12)","(15, 18, 3, 1, 18, 18)","(46, 162, 108, 130, 74, 170)"
1,0,"(8, 2, 14, 6, 4, 3, 13, 11, 10, 9, 5)","(1, 13, 12, 1, 8, 13, 19, 2, 17, 13, 7)","(97, 118, 176, 106, 61, 135, 122, 112, 197, 117, 114)"
1,1,"(7, 9)","(18, 11)","(128, 197)"
1,2,"(3, 11, 2, 8, 9, 12, 7, 13, 6)","(18, 7, 2, 13, 17, 19, 6, 10, 5)","(23, 177, 73, 25, 173, 155, 149, 51, 123)"
1,3,"(13, 10)","(12, 4)","(126, 104)"
1,4,"(3, 4, 1, 13, 6, 9, 14, 2, 10, 8, 5, 11, 7)","(18, 15, 7, 10, 4, 5, 20, 6, 10, 5, 3, 16, 9)","(82, 93, 86, 148, 54, 103, 63, 94, 60, 164, 21, 83, 94)"
1,5,"(2, 7, 3, 12, 6)","(4, 19, 5, 16, 6)","(188, 153, 192, 30, 142)"
1,6,"(4, 3, 6, 10, 5, 12)","(19, 12, 6, 1, 18, 10)","(194, 108, 116, 63, 166, 180)"
1,7,"(6, 1, 9, 2, 0, 7)","(2, 16, 2, 14, 11, 7)","(116, 41, 170, 142, 34, 170)"
1,8,"(8, 0, 2, 12, 9, 3, 10, 7, 11, 1)","(1, 14, 3, 6, 7, 20, 12, 12, 14, 7)","(124, 119, 95, 111, 99, 146, 199, 104, 177, 195)"
1,9,"(12, 11, 10, 1, 6, 2, 3, 8, 0, 9)","(12, 3, 9, 19, 16, 9, 2, 4, 19, 5)","(158, 199, 10, 89, 122, 68, 70, 134, 130, 64)"
2,0,"(12, 11, 1, 2, 9, 3, 0, 14, 10, 13, 7, 4, 8, 6, 5)","(4, 19, 17, 2, 3, 1, 13, 18, 4, 14, 20, 10, 13, 3, 18)","(11, 132, 173, 31, 22, 190, 34, 24, 28, 127, 129, 50, 103, 153, 181)"
2,1,"(9, 8)","(16, 1)","(175, 198)"
2,2,"(11, 4, 5, 1, 7, 0, 12, 8, 6, 10, 9, 14, 2)","(11, 7, 13, 1, 14, 15, 19, 2, 7, 15, 20, 17, 6)","(98, 194, 64, 158, 97, 144, 169, 126, 113, 160, 83, 20, 185)"
2,3,"(5, 2, 3, 6, 7, 10, 4)","(1, 14, 13, 7, 11, 9, 20)","(124, 100, 139, 50, 192, 79, 169)"
2,4,"(7, 0, 9, 6)","(7, 10, 19, 9)","(48, 122, 198, 57)"
2,5,"(0,)","(8,)","(143,)"
2,6,"(12, 2)","(15, 10)","(14, 136)"
