kind,task,machine_selectable,process_time,power
0,0,"(2,)","(8,)","(156,)"
0,1,"(0, 6, 9, 1, 4)","(7, 11, 19, 20, 6)","(84, 30, 67, 37, 43)"
0,2,"(4, 9, 3, 0)","(1, 16, 3, 10)","(83, 103, 180, 188)"
0,3,"(4, 5, 3, 0, 8, 9)","(11, 4, 2, 1, 6, 13)","(52, 164, 41, 126, 117, 43)"
0,4,"(6, 0, 9, 2, 1)","(15, 11, 8, 10, 17)","(52, 141, 68, 99, 11)"
1,0,"(4, 9)","(1, 4)","(32, 96)"
1,1,"(5, 3, 1, 7, 6, 0, 4, 8, 9, 2)","(13, 19, 8, 19, 17, 4, 16, 9, 15, 20)","(70, 122, 16, 100, 187, 46, 170, 83, 80, 30)"
1,2,"(8,)","(15,)","(23,)"
1,3,"(0, 7, 4, 2)","(1, 8, 20, 13)","(63, 137, 138, 196)"
1,4,"(7, 1, 2, 6, 0, 8, 3, 9, 4)","(9, 11, 20, 15, 2, 20, 19, 18, 6)","(175, 197, 98, 41, 23, 152, 193, 143, 20)"
2,0,"(6, 0, 4, 8)","(6, 6, 14, 11)","(197, 40, 143, 126)"
2,1,"(4, 3, 9, 6, 7, 2, 1, 8, 0, 5)","(10, 13, 18, 11, 13, 4, 4, 20, 2, 18)","(40, 131, 141, 124, 155, 60, 124, 18, 23, 95)"
2,2,"(0, 8, 3, 9, 7)","(17, 5, 2, 9, 7)","(160, 155, 32, 93, 145)"
2,3,"(6, 1, 8, 4, 9, 3, 5, 0)","(12, 10, 15, 7, 5, 3, 5, 13)","(160, 172, 111, 176, 126, 87, 135, 78)"
2,4,"(5, 7, 2, 9, 0, 1, 4, 6)","(13, 17, 16, 3, 17, 4, 5, 8)","(12, 83, 162, 142, 163, 54, 170, 70)"
3,0,"(6, 3, 7)","(20, 6, 6)","(89, 112, 24)"
3,1,"(5, 8, 2, 9, 1, 3, 6, 7, 4)","(2, 14, 2, 3, 15, 17, 3, 7, 13)","(167, 131, 17, 10, 45, 198, 178, 98, 28)"
3,2,"(3, 2, 4, 0)","(16, 3, 7, 1)","(72, 106, 55, 170)"
3,3,"(5, 1)","(4, 1)","(128, 85)"
3,4,"(5, 4, 0, 9, 3, 6, 1, 7)","(4, 14, 10, 2, 1, 3, 16, 10)","(146, 62, 25, 135, 138, 195, 72, 48)"
3,5,"(0, 4, 8, 1, 2, 9, 3)","(16, 2, 10, 3, 16, 10, 16)","(168, 56, 136, 17, 154, 34, 90)"
