kind,task,machine_selectable,process_time,power
0,0,"(8, 12, 11, 6, 0, 5, 7, 13, 18, 17, 3, 19, 4, 15)","(6, 3, 11, 16, 20, 2, 7, 9, 5, 8, 14, 18, 3, 18)","(120, 73, 160, 160, 80, 29, 160, 115, 166, 118, 151, 100, 137, 55)"
0,1,"(14, 3, 12, 0, 2, 8, 9, 6, 19, 16, 11, 15, 10, 17, 5, 7, 13)","(16, 5, 1, 18, 5, 7, 18, 19, 2, 20, 3, 9, 1, 9, 16, 5, 19)","(159, 135, 32, 61, 157, 61, 68, 79, 36, 44, 79, 45, 170, 144, 182, 74, 42)"
0,2,"(19, 16, 7, 15)","(2, 10, 18, 14)","(110, 104, 58, 47)"
0,3,"(19, 4, 10, 7, 14, 2, 1, 12, 11, 16)","(3, 20, 12, 3, 10, 17, 8, 11, 6, 16)","(12, 96, 105, 86, 92, 159, 65, 89, 75, 144)"
0,4,"(7, 19, 10, 5, 13, 9, 16, 4, 15, 14, 12)","(12, 9, 18, 19, 13, 12, 16, 15, 2, 17, 15)","(46, 61, 105, 147, 199, 187, 181, 57, 173, 160, 94)"
0,5,"(3, 19, 6, 12)","(1, 4, 1, 1)","(128, 181, 144, 105)"
0,6,"(10, 13, 18, 7, 11, 2)","(8, 8, 2, 16, 16, 18)","(162, 134, 75, 66, 121, 159)"
0,7,"(14, 19, 16, 2, 11, 10, 13, 9, 15)","(20, 17, 4, 19, 14, 17, 16, 19, 10)","(40, 192, 175, 66, 164, 160, 120, 44, 104)"
0,8,"(4, 12, 16, 7, 18, 14, 8, 2)","(11, 16, 9, 20, 16, 8, 7, 11)","(182, 95, 44, 25, 122, 192, 148, 91)"
0,9,"(10, 8, 3, 14, 1, 12, 18, 17, 19, 4)","(13, 12, 3, 18, 14, 8, 19, 1, 12, 12)","(21, 41, 113, 105, 154, 31, 153, 161, 161, 62)"
1,0,"(7, 3, 0, 16, 9, 11, 17)","(7, 6, 5, 4, 15, 3, 1)","(192, 168, 182, 58, 196, 88, 128)"
1,1,"(11, 7, 4, 14, 8, 3, 1, 10, 5, 17, 16, 2, 0, 18, 6)","(19, 3, 10, 1, 18, 16, 11, 9, 15, 1, 2, 20, 3, 9, 7)","(101, 171, 19, 21, 33, 48, 193, 36, 182, 114, 141, 148, 90, 45, 175)"
1,2,"(3, 7, 1, 4, 0, 6, 17, 15, 2, 8, 14, 5, 12, 19)","(17, 5, 11, 8, 6, 4, 9, 14, 17, 12, 2, 11, 2, 9)","(136, 102, 145, 125, 157, 112, 200, 62, 12, 103, 97, 41, 164, 121)"
1,3,"(14, 9, 18, 10, 15, 13, 7, 6, 17)","(20, 13, 6, 10, 11, 14, 7, 9, 11)","(62, 124, 75, 97, 120, 135, 185, 127, 78)"
1,4,"(9, 15, 13, 3, 5, 17, 11, 7, 6, 12, 14, 2, 8, 16)","(3, 17, 3, 19, 15, 9, 12, 15, 11, 4, 14, 6, 18, 7)","(186, 11, 198, 20, 15, 19, 110, 45, 88, 84, 114, 169, 150, 148)"
1,5,"(0, 4, 2, 5, 6, 17, 12, 15, 14, 3, 13, 19, 9, 11, 8, 1, 18, 16, 7, 10)","(3, 20, 19, 10, 12, 5, 20, 15, 12, 20, 4, 17, 13, 18, 18, 14, 12, 4, 4, 14)","(15, 144, 119, 149, 99, 16, 111, 89, 82, 43, 64, 16, 126, 35, 74, 115, 116, 17, 88, 102)"
1,6,"(10, 8, 17, 2, 13, 6, 5, 9, 18, 12, 1, 3, 7, 19, 16, 11, 0, 14)","(11, 8, 14, 12, 6, 20, 20, 9, 3, 12, 11, 12, 2, 3, 11, 7, 18, 3)","(128, 104, 127, 181, 195, 182, 62, 176, 159, 114, 119, 64, 88, 62, 31, 104, 163, 63)"
1,7,"(19, 6, 15, 12, 18, 1, 3, 11, 2, 17, 10, 9, 14)","(2, 9, 1, 10, 3, 8, 20, 2, 15, 10, 11, 12, 6)","(114, 145, 129, 100, 65, 59, 163, 187, 97, 83, 161, 96, 79)"
1,8,"(0, 10, 11, 12, 14, 6, 2, 5)","(10, 2, 13, 3, 15, 2, 4, 13)","(146, 172, 111, 191, 158, 154, 101, 157)"
2,0,"(17,)","(6,)","(169,)"
2,1,"(14, 4, 13, 10, 6, 12, 17, 18, 8, 7, 5, 3, 16, 11, 0, 9, 2, 1)","(12, 1, 2, 3, 5, 13, 18, 9, 12, 10, 13, 3, 18, 14, 3, 13, 13, 14)","(118, 80, 182, 82, 46, 58, 127, 39, 189, 99, 85, 10, 49, 108, 116, 59, 187, 181)"
2,2,"(17, 16, 0, 11, 8, 18, 1, 6, 14)","(1, 10, 9, 3, 16, 13, 18, 5, 2)","(99, 41, 71, 59, 144, 163, 171, 61, 130)"
2,3,"(19, 9)","(20, 16)","(146, 107)"
2,4,"(6, 13, 9, 14, 17)","(3, 8, 14, 3, 10)","(133, 129, 131, 124, 191)"
2,5,"(4, 15, 0, 7, 1, 17, 19, 3, 8, 18, 16, 6, 10, 11, 5, 14, 9)","(1, 17, 17, 8, 6, 6, 17, 4, 8, 2, 6, 17, 14, 6, 5, 7, 17)","(44, 19, 74, 135, 117, 100, 122, 95, 38, 153, 151, 198, 171, 164, 32, 120, 156)"
2,6,"(5, 10, 16, 3, 9, 19, 11, 1, 13, 14, 17, 12, 6, 18)","(13, 14, 1, 15, 13, 1, 13, 10, 18, 3, 18, 2, 16, 14)","(53, 121, 161, 20, 41, 123, 24, 109, 187, 169, 82, 145, 47, 138)"
2,7,"(2, 14, 13)","(10, 4, 9)","(155, 171, 186)"
2,8,"(16, 2, 19, 4, 10, 9, 15, 0, 1, 7, 12, 17, 13, 14, 3, 5)","(9, 20, 15, 5, 18, 2, 10, 18, 7, 5, 7, 4, 1, 11, 7, 13)","(125, 160, 180, 50, 41, 107, 179, 59, 124, 93, 161, 159, 187, 104, 182, 69)"
2,9,"(14, 8, 5, 17)","(15, 13, 15, 11)","(55, 194, 45, 153)"
3,0,"(13, 6, 11, 4, 15, 0, 8, 9, 16, 2, 3, 7, 1, 10, 12, 14, 19, 18, 5, 17)","(12, 6, 5, 7, 20, 12, 9, 15, 4, 4, 4, 13, 19, 11, 12, 19, 18, 2, 9, 11)","(130, 85, 10, 70, 193, 181, 140, 10, 35, 145, 140, 28, 147, 97, 115, 159, 40, 46, 145, 49)"
3,1,"(4, 17, 10, 13, 8, 1, 14, 19, 6, 7, 9, 15, 0, 11, 3)","(6, 19, 16, 16, 4, 8, 20, 20, 15, 8, 13, 7, 15, 13, 16)","(65, 59, 175, 141, 62, 110, 88, 44, 117, 83, 87, 85, 113, 194, 195)"
3,2,"(19, 0, 12, 9, 3)","(11, 18, 14, 14, 5)","(93, 18, 136, 59, 193)"
3,3,"(14, 19, 15, 4, 2, 8, 6, 12, 13, 1, 10, 5, 0, 17)","(18, 18, 7, 3, 13, 15, 10, 12, 6, 19, 20, 3, 17, 2)","(105, 92, 60, 57, 25, 65, 66, 104, 26, 119, 144, 102, 141, 50)"
3,4,"(12,)","(4,)","(95,)"
4,0,"(7, 18, 1, 0, 4, 15, 14, 3, 13)","(9, 1, 8, 5, 16, 16, 7, 15, 20)","(128, 58, 63, 111, 105, 29, 177, 72, 94)"
4,1,"(17, 14, 10, 1, 5, 0, 15, 13)","(19, 10, 12, 10, 11, 5, 1, 18)","(159, 185, 21, 24, 87, 185, 88, 51)"
4,2,"(17, 19, 15, 5, 0, 10, 6)","(14, 9, 4, 1, 3, 16, 3)","(52, 66, 86, 163, 105, 100, 16)"
4,3,"(15, 1, 3, 17, 19, 16, 5, 10, 2, 11, 9, 7, 4, 14)","(19, 5, 17, 7, 10, 18, 1, 2, 8, 10, 4, 2, 3, 17)","(200, 200, 158, 107, 138, 69, 82, 24, 175, 149, 61, 42, 133, 159)"
4,4,"(4, 9, 3, 5, 10, 7, 11, 18)","(7, 1, 11, 19, 2, 3, 10, 4)","(142, 34, 57, 78, 13, 139, 102, 46)"
4,5,"(18, 16, 10, 1, 8, 15, 2, 12)","(19, 11, 20, 8, 6, 17, 1, 18)","(114, 149, 103, 97, 10, 178, 49, 16)"
4,6,"(4, 19, 12, 1, 10, 8, 2, 17, 11, 6, 18, 3, 9, 14, 13, 16, 15, 5)","(9, 1, 17, 3, 3, 6, 18, 17, 10, 18, 4, 2, 10, 17, 19, 9, 3, 8)","(69, 128, 166, 137, 20, 85, 97, 132, 117, 113, 100, 118, 148, 34, 174, 112, 137, 76)"
5,0,"(11, 4, 2, 3, 10, 1, 5, 19, 14, 16, 18, 8, 9, 7, 12, 13)","(3, 18, 17, 3, 13, 1, 4, 15, 10, 10, 9, 13, 20, 19, 17, 15)","(161, 175, 139, 11, 184, 72, 131, 62, 166, 150, 103, 49, 112, 169, 161, 96)"
5,1,"(7, 8, 11, 15, 0, 5, 1, 19, 2)","(16, 16, 3, 17, 14, 6, 2, 18, 7)","(127, 184, 180, 28, 33, 55, 130, 163, 58)"
5,2,"(3, 9)","(12, 4)","(77, 100)"
5,3,"(3, 4, 18, 10, 1, 8, 7, 5, 17, 15, 13)","(12, 13, 3, 4, 15, 5, 1, 19, 15, 10, 9)","(87, 42, 200, 16, 127, 158, 15, 83, 68, 112, 26)"
5,4,"(13, 0, 12, 9, 6, 14)","(8, 13, 4, 20, 19, 19)","(88, 66, 73, 165, 184, 90)"
6,0,"(10,)","(11,)","(119,)"
6,1,"(17, 11, 13)","(13, 6, 5)","(34, 39, 60)"
6,2,"(4, 19, 3, 7, 8, 10)","(19, 20, 9, 12, 17, 15)","(47, 139, 181, 83, 31, 182)"
6,3,"(7, 18, 17, 11, 9, 5, 6, 3, 19, 8, 10, 1, 16, 13, 0, 2, 12, 14)","(20, 9, 14, 12, 17, 14, 6, 19, 20, 19, 18, 16, 17, 16, 12, 9, 10, 13)","(66, 195, 169, 67, 190, 140, 88, 22, 68, 185, 80, 19, 162, 171, 46, 62, 84, 109)"
6,4,"(17, 5, 15, 10, 9, 11, 13, 14)","(1, 8, 1, 12, 11, 10, 14, 8)","(49, 64, 165, 27, 108, 35, 22, 177)"
6,5,"(18, 3, 5, 13, 8, 10, 15, 9, 17, 12, 11, 2, 4, 16, 19, 6)","(17, 16, 2, 12, 20, 9, 16, 7, 2, 3, 18, 18, 1, 4, 5, 16)","(166, 170, 49, 103, 173, 80, 146, 139, 25, 74, 82, 168, 114, 178, 131, 36)"
6,6,"(16,)","(14,)","(56,)"
7,0,"(12, 4, 5, 10, 11, 19, 16, 7, 18, 13, 0, 6)","(11, 9, 10, 20, 18, 2, 17, 6, 19, 13, 10, 16)","(46, 105, 65, 61, 185, 111, 63, 173, 83, 167, 76, 93)"
