machine,idle_power,breakdown_start,breakdown_end
0,5,387,394
0,5,408,428
0,5,598,605
0,5,635,637
0,5,787,788
0,5,1508,1516
0,5,1648,1650
0,5,1688,1691
0,5,1782,1788
0,5,1853,1854
0,5,2243,2245
0,5,2262,2272
0,5,2343,2350
0,5,2377,2387
0,5,2525,2534
0,5,2789,2793
0,5,2831,2833
0,5,2867,2873
0,5,3285,3287
0,5,3794,3809
0,5,3811,3815
0,5,4142,4145
0,5,4244,4247
0,5,4484,4487
0,5,4525,4525
0,5,4819,4823
0,5,4875,4882
1,3,728,737
1,3,769,797
1,3,841,842
1,3,918,922
1,3,995,995
1,3,1335,1351
1,3,1740,1746
1,3,1789,1796
1,3,1911,1920
1,3,2722,2730
1,3,2776,2776
1,3,3021,3030
1,3,3393,3410
1,3,3493,3497
1,3,3520,3557
1,3,3593,3604
1,3,3607,3622
1,3,3663,3666
1,3,3752,3799
1,3,3880,3886
1,3,4467,4495
1,3,4731,4734
1,3,4751,4765
1,3,4992,4992
2,5,624,625
2,5,963,965
2,5,1043,1043
2,5,1134,1146
2,5,1393,1394
2,5,2008,2012
2,5,2407,2417
2,5,2671,2672
2,5,3270,3280
2,5,3626,3652
2,5,4183,4222
2,5,4321,4339
2,5,4641,4641
2,5,4703,4712
2,5,4787,4796
3,1,205,206
3,1,437,442
3,1,498,512
3,1,539,553
3,1,566,566
3,1,942,972
3,1,1191,1191
3,1,1324,1325
3,1,1654,1666
3,1,1948,1965
3,1,2231,2231
3,1,2412,2418
3,1,2524,2528
3,1,2546,2558
3,1,2699,2711
3,1,2772,2778
3,1,2828,2840
3,1,3422,3427
3,1,3476,3519
3,1,4330,4337
3,1,4377,4400
3,1,4491,4508
3,1,4565,4565
4,5,10,17
4,5,177,187
4,5,328,355
4,5,951,955
4,5,1026,1028
4,5,1165,1171
4,5,2200,2200
4,5,2245,2253
4,5,2446,2463
4,5,2482,2485
4,5,2686,2699
4,5,2701,2710
4,5,2783,2812
4,5,3071,3115
4,5,3154,3170
4,5,3384,3401
4,5,3417,3420
4,5,3484,3488
4,5,3502,3506
4,5,3566,3576
4,5,3920,3928
4,5,4440,4446
4,5,4452,4464
4,5,4835,4842
4,5,4948,4950
5,7,29,30
5,7,52,84
5,7,203,203
5,7,324,332
5,7,1105,1112
5,7,1623,1624
5,7,1630,1649
5,7,1677,1712
5,7,2140,2146
5,7,2146,2163
5,7,2324,2339
5,7,2470,2487
5,7,2605,2621
5,7,2646,2650
5,7,3399,3408
5,7,3610,3613
5,7,3880,3901
5,7,4041,4056
5,7,4068,4069
5,7,4072,4086
5,7,4221,4227
5,7,4428,4428
5,7,4660,4674
5,7,4844,4869
5,7,4912,4917
6,3,10,15
6,3,213,219
6,3,252,266
6,3,330,355
6,3,414,425
6,3,544,549
6,3,810,811
6,3,978,983
6,3,1235,1238
6,3,1636,1645
6,3,1738,1752
6,3,2138,2140
6,3,2174,2180
6,3,2516,2517
6,3,2753,2765
6,3,3326,3330
6,3,3596,3617
6,3,3895,3908
6,3,4105,4110
6,3,4153,4178
6,3,4195,4200
6,3,4280,4281
6,3,4487,4500
6,3,4559,4564
6,3,4611,4635
6,3,4726,4739
6,3,4784,4789
7,4,697,705
7,4,960,974
7,4,1083,1085
7,4,1126,1127
7,4,1348,1352
7,4,1475,1478
7,4,1709,1710
7,4,1775,1775
7,4,2113,2134
7,4,2137,2175
7,4,2328,2333
7,4,2395,2399
7,4,2660,2689
7,4,2779,2786
7,4,2898,2905
7,4,3591,3592
7,4,3759,3761
7,4,3881,3893
7,4,4171,4175
7,4,4344,4346
7,4,4477,4496
7,4,4712,4725
8,5,978,986
8,5,1005,1037
8,5,1040,1050
8,5,1338,1341
8,5,1818,1826
8,5,1885,1900
8,5,2198,2221
8,5,2239,2281
8,5,2633,2642
8,5,2938,2939
8,5,3859,3868
8,5,4154,4154
8,5,4229,4229
8,5,4508,4521
8,5,4901,4903
9,2,210,220
9,2,274,297
9,2,452,453
9,2,597,597
9,2,845,855
9,2,1165,1176
9,2,1322,1326
9,2,1443,1444
9,2,1966,1971
9,2,2060,2064
9,2,2064,2094
9,2,2216,2227
9,2,2248,2264
9,2,2309,2323
9,2,2518,2536
9,2,2883,2884
9,2,2943,2944
9,2,2978,2983
9,2,3163,3170
9,2,3379,3389
9,2,3604,3625
9,2,3704,3723
9,2,3807,3810
9,2,4005,4005
9,2,4285,4288
9,2,4367,4382
9,2,4893,4895
9,2,4931,4941
10,1,322,334
10,1,407,445
10,1,631,632
10,1,814,820
10,1,947,956
10,1,1577,1588
10,1,1656,1656
10,1,1680,1694
10,1,1704,1708
10,1,1732,1733
10,1,2387,2388
10,1,2476,2477
10,1,2552,2556
10,1,2670,2672
10,1,2785,2787
10,1,3058,3058
10,1,3075,3075
10,1,3225,3236
10,1,3416,3419
10,1,3464,3477
10,1,3778,3786
10,1,3977,4005
10,1,4275,4280
10,1,4487,4495
10,1,4511,4531
10,1,4720,4727
11,3,598,603
11,3,1068,1079
11,3,1115,1128
11,3,1322,1332
11,3,1784,1793
11,3,2017,2029
11,3,2058,2078
11,3,2100,2105
11,3,2336,2350
11,3,2463,2489
11,3,2490,2494
11,3,2632,2652
11,3,3181,3189
11,3,3375,3399
11,3,3962,3978
11,3,4038,4043
11,3,4158,4166
11,3,4380,4398
11,3,4460,4494
11,3,4510,4512
11,3,4801,4808
12,4,56,56
12,4,161,167
12,4,227,243
12,4,337,359
12,4,430,439
12,4,503,509
12,4,789,793
12,4,942,951
12,4,1086,1100
12,4,1396,1400
12,4,1509,1521
12,4,1593,1597
12,4,1603,1611
12,4,1832,1832
12,4,1873,1874
12,4,2030,2033
