kind,task,machine_selectable,process_time,power
0,0,"(7, 18, 13, 11, 2, 19)","(12, 5, 11, 11, 14, 12)","(11, 21, 16, 148, 148, 192)"
0,1,"(12, 17, 13, 3)","(7, 11, 17, 8)","(21, 34, 163, 28)"
0,2,"(17, 15, 14, 7, 13, 2, 3, 18, 0, 16, 10, 9, 5, 4, 12, 6, 19, 11, 8)","(5, 5, 4, 14, 3, 5, 12, 13, 3, 7, 9, 15, 12, 6, 15, 16, 15, 18, 8)","(78, 165, 94, 117, 32, 199, 11, 148, 84, 28, 135, 191, 66, 33, 73, 34, 187, 106, 45)"
0,3,"(12,)","(2,)","(190,)"
0,4,"(18, 5, 1, 15, 11, 4, 17)","(4, 12, 10, 9, 1, 2, 4)","(91, 87, 190, 171, 152, 82, 168)"
0,5,"(0, 5, 6, 10, 1, 13, 8, 17, 12, 14, 3, 2, 15, 16, 9, 11, 7, 4, 18, 19)","(2, 20, 2, 19, 13, 13, 3, 13, 19, 10, 7, 17, 2, 12, 2, 17, 9, 5, 8, 14)","(197, 28, 50, 127, 147, 14, 186, 109, 39, 175, 86, 15, 165, 35, 142, 73, 81, 79, 91, 145)"
0,6,"(0, 4, 7, 8, 9, 19, 11, 10)","(15, 1, 20, 6, 7, 3, 17, 19)","(170, 146, 198, 37, 118, 136, 158, 188)"
0,7,"(16, 8, 5, 4, 10, 9)","(7, 10, 5, 3, 12, 17)","(180, 181, 178, 173, 198, 49)"
0,8,"(5, 13, 19, 4, 1, 10, 17, 18, 9, 3)","(20, 11, 8, 14, 8, 5, 10, 16, 7, 10)","(198, 64, 155, 10, 176, 192, 128, 86, 30, 10)"
0,9,"(5, 8, 1, 4, 18, 16, 17)","(6, 12, 6, 5, 9, 2, 15)","(115, 25, 191, 109, 78, 60, 162)"
1,0,"(9, 12, 8, 6, 19, 1, 2, 7, 5, 16, 11, 4, 0, 3, 17, 18, 14)","(16, 16, 16, 16, 6, 9, 13, 3, 19, 19, 17, 13, 15, 17, 2, 11, 11)","(194, 180, 144, 34, 146, 136, 126, 35, 150, 149, 40, 118, 61, 102, 166, 110, 123)"
1,1,"(13, 6, 12, 16, 3, 7, 10, 0, 5, 1, 2, 14, 18, 11, 9, 4, 19, 17)","(6, 11, 20, 14, 3, 14, 10, 11, 3, 3, 12, 10, 9, 6, 8, 8, 11, 12)","(46, 136, 68, 79, 184, 78, 176, 167, 184, 80, 163, 166, 127, 116, 38, 106, 35, 174)"
1,2,"(4, 8, 9, 3)","(16, 6, 10, 9)","(123, 26, 20, 113)"
1,3,"(12, 17, 13, 16, 7, 8, 6, 5)","(3, 3, 6, 3, 5, 9, 2, 16)","(80, 61, 140, 116, 186, 31, 56, 115)"
1,4,"(14, 10, 13, 19, 2, 17, 15, 11, 18, 16, 1, 5)","(8, 11, 4, 7, 11, 4, 8, 16, 20, 8, 12, 20)","(102, 194, 110, 196, 155, 75, 145, 37, 116, 67, 116, 172)"
1,5,"(17, 13, 8, 6, 14, 10, 3, 5, 2, 19, 4, 18, 11, 7, 9, 15, 1, 0, 16)","(4, 19, 18, 9, 13, 5, 5, 9, 10, 6, 10, 19, 17, 13, 12, 15, 8, 1, 13)","(62, 169, 117, 191, 78, 149, 76, 159, 64, 196, 57, 50, 56, 164, 109, 54, 79, 47, 88)"
1,6,"(0, 4, 3, 19, 10, 9, 12, 8, 7, 18, 16, 6, 14, 11, 1, 15, 2)","(7, 4, 12, 3, 18, 20, 3, 3, 18, 10, 10, 15, 8, 7, 10, 14, 19)","(65, 73, 132, 71, 27, 182, 179, 53, 107, 90, 132, 184, 127, 79, 53, 53, 13)"
1,7,"(16, 12, 1, 6, 18, 13, 10, 0, 8, 11, 19, 2, 7, 4, 14)","(1, 6, 17, 14, 20, 7, 6, 7, 4, 11, 15, 5, 11, 6, 15)","(12, 175, 170, 97, 89, 90, 15, 64, 60, 21, 135, 85, 110, 25, 139)"
1,8,"(13, 8, 11, 19, 10, 14, 2, 17, 0, 7, 15, 9, 1, 5, 18, 16, 12)","(18, 14, 3, 1, 19, 3, 12, 2, 15, 10, 16, 16, 11, 13, 2, 4, 13)","(162, 178, 50, 168, 77, 45, 24, 157, 135, 39, 178, 172, 194, 111, 40, 134, 105)"
1,9,"(1, 11, 0, 6, 7)","(16, 12, 1, 7, 15)","(35, 14, 11, 97, 189)"
2,0,"(4, 14, 17, 19, 7, 3, 10, 18, 8)","(2, 14, 9, 20, 13, 2, 11, 4, 4)","(141, 161, 14, 149, 138, 182, 90, 58, 173)"
2,1,"(4, 12)","(18, 15)","(134, 155)"
2,2,"(4, 0, 16, 9, 3, 17, 12, 7, 5, 13)","(19, 14, 20, 8, 9, 10, 15, 18, 17, 17)","(14, 84, 17, 134, 44, 38, 53, 112, 159, 27)"
2,3,"(16, 7, 4)","(11, 2, 7)","(161, 194, 187)"
2,4,"(1, 6, 10, 18, 0, 7, 9, 17, 5, 2, 16, 15, 3)","(12, 11, 13, 8, 7, 13, 12, 4, 6, 2, 7, 15, 18)","(62, 130, 188, 195, 141, 112, 77, 191, 104, 89, 133, 184, 35)"
2,5,"(11, 7, 19, 2, 8, 6)","(16, 10, 18, 2, 13, 12)","(55, 182, 166, 22, 42, 56)"
2,6,"(1, 9)","(12, 16)","(102, 85)"
2,7,"(12, 5, 11, 1, 15, 16, 13, 3, 19, 9, 17, 4, 0, 14, 6, 10, 8, 18, 7)","(5, 18, 13, 9, 20, 5, 6, 11, 8, 7, 2, 16, 17, 16, 4, 11, 8, 2, 1)","(128, 133, 117, 42, 38, 200, 146, 97, 119, 143, 196, 17, 100, 28, 50, 28, 139, 164, 152)"
2,8,"(5, 14, 18, 9, 0, 15)","(3, 14, 20, 17, 13, 19)","(38, 197, 97, 45, 85, 79)"
3,0,"(15, 18, 11, 9, 1, 5, 7, 8, 14, 12, 16, 10)","(10, 16, 16, 4, 3, 18, 8, 18, 15, 20, 13, 8)","(44, 67, 29, 90, 54, 191, 179, 186, 69, 172, 11, 29)"
3,1,"(2, 15)","(17, 10)","(198, 129)"
3,2,"(18, 8, 5, 16, 17, 10, 13, 12)","(4, 3, 6, 9, 12, 5, 3, 1)","(136, 21, 97, 134, 23, 98, 173, 12)"
3,3,"(19, 15, 3, 17, 13, 1, 9, 4, 12, 10, 2, 0, 16, 7, 5, 14)","(3, 15, 7, 2, 6, 9, 19, 2, 15, 4, 5, 8, 5, 2, 3, 11)","(200, 17, 137, 95, 139, 179, 12, 123, 25, 37, 41, 152, 150, 113, 192, 184)"
3,4,"(0, 12, 18, 10, 13, 1, 8, 15, 11, 9, 6, 3, 16, 19, 5, 2, 14)","(2, 13, 13, 12, 5, 2, 12, 19, 3, 16, 20, 11, 17, 5, 12, 3, 9)","(120, 115, 55, 141, 194, 48, 109, 102, 99, 103, 130, 140, 164, 196, 25, 103, 140)"
3,5,"(1,)","(3,)","(81,)"
3,6,"(18, 8, 11, 13, 3, 10, 17, 15, 1, 16, 9, 2, 14, 5, 4, 12, 0, 19)","(14, 1, 10, 4, 1, 14, 8, 8, 19, 20, 2, 10, 12, 15, 20, 18, 6, 12)","(27, 58, 23, 138, 56, 90, 25, 196, 35, 182, 155, 69, 107, 79, 120, 53, 88, 62)"
3,7,"(2, 11, 14, 1)","(5, 13, 14, 9)","(178, 191, 55, 179)"
3,8,"(16, 0, 10, 2, 8, 19, 17, 11, 6)","(16, 12, 7, 3, 16, 20, 7, 11, 4)","(163, 191, 24, 22, 187, 21, 184, 160, 183)"
3,9,"(11, 6, 10, 7, 19, 18, 14, 15, 4, 2, 9, 3, 0, 13, 8)","(17, 6, 19, 9, 19, 14, 10, 11, 8, 16, 3, 16, 20, 9, 15)","(118, 176, 75, 68, 113, 137, 48, 149, 164, 98, 87, 34, 101, 32, 158)"
4,0,"(0, 16, 10, 17, 11, 13, 12, 8)","(3, 12, 19, 18, 4, 17, 18, 14)","(111, 45, 133, 124, 118, 104, 190, 195)"
4,1,"(15, 12, 9, 2, 5, 18, 11, 14, 7, 1, 19, 17, 8, 10, 3, 16, 13)","(1, 6, 17, 19, 11, 3, 1, 1, 12, 15, 10, 16, 18, 8, 5, 3, 19)","(151, 45, 179, 46, 119, 83, 144, 100, 93, 61, 18, 200, 183, 10, 161, 122, 192)"
4,2,"(5, 2, 17, 15, 12, 13, 8, 1, 18, 7, 0, 19, 11, 16)","(7, 12, 8, 17, 9, 18, 16, 16, 13, 16, 3, 16, 14, 14)","(27, 161, 181, 148, 64, 70, 54, 74, 136, 131, 180, 191, 84, 136)"
4,3,"(5, 2, 0, 18, 6, 7, 9, 8, 3, 12, 11, 16, 14, 13, 10, 15, 17, 4, 1, 19)","(20, 2, 10, 14, 19, 10, 7, 2, 14, 1, 2, 6, 4, 14, 12, 14, 17, 10, 17, 16)","(28, 157, 160, 60, 143, 160, 44, 36, 159, 100, 175, 88, 187, 174, 197, 33, 38, 169, 160, 148)"
4,4,"(0, 15, 1, 8, 10, 7, 12, 16)","(6, 11, 1, 1, 12, 19, 3, 16)","(46, 155, 103, 83, 65, 180, 140, 148)"
4,5,"(2, 17, 15, 16, 19, 0, 1, 11, 12, 14, 9, 3)","(18, 19, 18, 14, 6, 7, 20, 18, 7, 15, 10, 15)","(175, 25, 146, 180, 79, 26, 139, 189, 157, 13, 194, 179)"
4,6,"(13, 5, 14, 16, 10, 4, 11, 2, 7, 8, 3, 17, 9, 12, 15, 6, 0)","(9, 7, 13, 11, 16, 1, 5, 20, 20, 18, 12, 8, 9, 6, 12, 8, 3)","(174, 65, 134, 72, 36, 158, 147, 87, 117, 51, 133, 61, 175, 180, 172, 10, 21)"
4,7,"(11, 15, 16, 9, 14, 18, 8, 3, 10, 5, 19, 0, 6, 2, 7, 17, 1, 12, 4, 13)","(3, 5, 15, 1, 8, 6, 5, 18, 7, 9, 4, 11, 8, 9, 14, 1, 14, 14, 19, 1)","(198, 158, 85, 146, 17, 179, 100, 95, 167, 11, 17, 41, 80, 64, 49, 60, 126, 86, 15, 102)"
4,8,"(0, 16, 9, 5, 12, 2, 18, 15, 7, 17, 19, 6, 4, 14, 8, 3, 11, 1, 13)","(10, 11, 8, 18, 11, 13, 10, 20, 2, 8, 18, 12, 12, 17, 2, 1, 13, 2, 16)","(119, 54, 164, 122, 191, 76, 170, 125, 95, 89, 82, 182, 142, 92, 183, 131, 47, 174, 161)"
5,0,"(9, 11, 3, 1, 8, 0, 4, 14)","(4, 10, 14, 18, 11, 3, 10, 8)","(75, 22, 16, 167, 37, 38, 159, 192)"
5,1,"(11, 7, 0, 14, 2, 12, 9, 3, 13, 10, 17, 16, 6, 15)","(3, 14, 1, 4, 18, 13, 3, 10, 18, 8, 17, 9, 19, 3)","(194, 129, 158, 100, 77, 131, 26, 31, 133, 14, 121, 75, 78, 18)"
5,2,"(14, 19)","(13, 3)","(32, 35)"
5,3,"(17, 0, 2, 4, 16, 8, 1, 18, 3, 11, 9, 7, 13, 14, 6, 19, 15, 12, 5, 10)","(7, 19, 5, 20, 11, 8, 14, 12, 13, 1, 12, 12, 11, 17, 16, 13, 16, 7, 20, 12)","(78, 40, 87, 83, 152, 119, 92, 108, 35, 81, 109, 98, 139, 57, 177, 146, 188, 197, 175, 182)"
5,4,"(17, 18, 10, 7, 1, 12, 15, 0, 4, 5, 2, 8, 16, 13, 3, 14, 11, 6, 19, 9)","(1, 6, 19, 18, 17, 13, 8, 5, 9, 12, 12, 12, 8, 4, 20, 8, 14, 8, 10, 11)","(179, 125, 25, 200, 161, 142, 90, 192, 174, 59, 171, 92, 115, 90, 142, 113, 62, 171, 60, 26)"
6,0,"(6, 14, 7, 16, 5)","(7, 16, 20, 6, 10)","(72, 195, 198, 25, 94)"
6,1,"(6, 13, 4, 17, 0, 9, 3, 10)","(7, 11, 15, 7, 15, 7, 6, 3)","(11, 133, 164, 164, 126, 146, 173, 141)"
6,2,"(4, 1, 5, 18, 14, 12, 7, 17)","(17, 10, 13, 13, 10, 15, 6, 5)","(72, 84, 100, 174, 81, 32, 111, 198)"
6,3,"(7, 14, 10, 13, 6, 3, 0, 9, 2, 15, 18, 19, 16, 4)","(17, 15, 19, 5, 18, 9, 1, 4, 13, 10, 16, 1, 16, 17)","(15, 128, 109, 165, 156, 178, 85, 151, 164, 118, 157, 89, 154, 139)"
6,4,"(18, 9, 15, 2, 6, 14, 5, 19, 0, 12, 13, 8, 17)","(3, 14, 15, 9, 9, 7, 1, 16, 11, 14, 1, 9, 11)","(29, 68, 159, 141, 153, 142, 144, 192, 120, 171, 129, 12, 185)"
6,5,"(15,)","(11,)","(175,)"
6,6,"(18, 5, 17, 15, 11, 10, 0, 3, 8, 16)","(5, 20, 20, 14, 6, 7, 2, 18, 6, 4)","(198, 165, 41, 72, 191, 86, 195, 123, 79, 93)"
6,7,"(5, 17, 2, 6, 7, 4, 16, 9, 1)","(15, 14, 13, 12, 11, 18, 7, 3, 4)","(63, 169, 199, 87, 107, 100, 144, 158, 137)"
6,8,"(3, 9, 13, 19, 14, 7, 17, 12, 1, 10, 11)","(4, 16, 14, 5, 12, 20, 20, 14, 6, 1, 6)","(78, 186, 153, 17, 67, 47, 37, 15, 105, 152, 194)"
6,9,"(2, 12, 16, 3, 10)","(15, 12, 12, 15, 8)","(19, 63, 171, 79, 104)"
7,0,"(4, 17, 16, 19, 13, 0, 9, 3, 1, 18, 8, 7, 15, 10, 5, 11, 2, 14, 12, 6)","(9, 4, 4, 13, 9, 7, 12, 10, 2, 18, 7, 2, 1, 15, 11, 7, 11, 20, 16, 7)","(89, 150, 179, 191, 161, 44, 83, 45, 70, 178, 83, 93, 161, 67, 164, 62, 109, 182, 141, 149)"
7,1,"(16, 17, 15, 3, 10, 2, 19, 1, 6, 4, 11, 12, 5, 9, 18, 13)","(19, 8, 15, 14, 11, 3, 17, 20, 2, 2, 5, 20, 7, 6, 4, 5)","(161, 92, 164, 130, 125, 187, 156, 128, 192, 37, 179, 50, 199, 113, 38, 187)"
7,2,"(19, 16, 7, 8, 14, 0, 9, 3, 10, 11, 2, 6, 5, 13, 17)","(2, 13, 12, 12, 16, 11, 7, 10, 15, 3, 20, 3, 17, 7, 10)","(80, 182, 118, 119, 23, 86, 56, 68, 150, 36, 25, 136, 55, 131, 119)"
7,3,"(18, 10, 3, 2, 6, 11, 9, 19, 1)","(5, 17, 9, 3, 20, 15, 13, 16, 12)","(29, 89, 31, 123, 33, 72, 140, 14, 17)"
7,4,"(0, 12, 4, 6, 13, 1, 14, 7, 19, 15, 11, 17, 18, 16, 2, 3, 10, 9, 8, 5)","(1, 7, 16, 16, 19, 9, 13, 11, 17, 19, 6, 8, 7, 18, 18, 11, 7, 4, 3, 7)","(104, 91, 58, 133, 46, 19, 171, 152, 87, 123, 193, 164, 88, 89, 17, 147, 118, 10, 27, 158)"
7,5,"(16, 9, 3, 12, 18, 10)","(8, 3, 17, 5, 20, 18)","(87, 195, 100, 194, 37, 70)"
7,6,"(9, 0, 6, 18, 3, 14, 1, 2, 10, 8, 13, 16, 17, 7, 5, 11, 12)","(15, 14, 12, 11, 17, 17, 9, 8, 11, 19, 13, 4, 4, 15, 6, 9, 12)","(44, 119, 124, 46, 98, 108, 89, 65, 123, 50, 108, 131, 20, 52, 67, 91, 73)"
7,7,"(18, 14, 12, 17, 16, 4, 2, 19, 0)","(17, 11, 9, 4, 1, 18, 12, 8, 9)","(169, 40, 156, 42, 90, 96, 129, 16, 95)"
7,8,"(6,)","(7,)","(122,)"
