kind,task,machine_selectable,process_time,power
0,0,"(5, 1, 4, 0, 2, 6, 3, 9)","(12, 13, 7, 10, 12, 6, 18, 6)","(52, 77, 169, 20, 186, 31, 186, 192)"
0,1,"(2,)","(20,)","(69,)"
0,2,"(8,)","(6,)","(62,)"
0,3,"(1, 8)","(3, 6)","(182, 11)"
0,4,"(0, 2, 7, 1, 4, 5, 9, 8, 3)","(19, 17, 16, 18, 5, 11, 5, 11, 20)","(11, 48, 47, 90, 37, 37, 160, 100, 138)"
0,5,"(3,)","(7,)","(176,)"
1,0,"(9, 6, 4, 0, 2, 1, 3)","(4, 3, 16, 5, 18, 4, 10)","(95, 129, 97, 70, 193, 94, 55)"
1,1,"(9, 4, 5)","(14, 3, 11)","(73, 119, 118)"
1,2,"(8, 0, 3, 7, 6, 4)","(15, 4, 15, 4, 8, 19)","(93, 183, 114, 17, 128, 189)"
1,3,"(5, 0, 3, 1, 2, 8, 9, 6, 7)","(9, 9, 20, 19, 7, 9, 18, 17, 13)","(74, 110, 136, 86, 27, 41, 18, 164, 73)"
1,4,"(8, 7, 1, 0, 3, 9, 2, 6)","(18, 9, 11, 2, 1, 15, 4, 20)","(64, 45, 77, 123, 145, 78, 85, 65)"
1,5,"(2, 5, 7, 0, 9, 8, 6, 1, 3, 4)","(15, 7, 10, 16, 12, 7, 11, 11, 16, 4)","(189, 115, 158, 111, 28, 43, 110, 146, 102, 112)"
1,6,"(3, 2, 7, 9, 6)","(5, 14, 11, 19, 14)","(168, 92, 37, 139, 39)"
1,7,"(5, 0)","(12, 2)","(52, 157)"
2,0,"(2, 1, 4, 3)","(4, 2, 6, 1)","(130, 39, 163, 43)"
2,1,"(4, 0)","(14, 16)","(19, 84)"
2,2,"(1, 3, 6, 2, 7, 0)","(13, 20, 18, 10, 1, 12)","(141, 146, 39, 73, 61, 28)"
2,3,"(1, 8, 3, 9, 7, 2, 0, 5, 6)","(11, 5, 10, 4, 3, 1, 10, 9, 19)","(198, 170, 118, 178, 60, 58, 170, 102, 196)"
2,4,"(8, 1, 7, 4, 3)","(1, 1, 14, 19, 7)","(17, 89, 179, 136, 47)"
3,0,"(1, 0, 4)","(5, 15, 8)","(29, 163, 165)"
3,1,"(5, 6)","(5, 7)","(180, 144)"
3,2,"(1, 6, 9, 4, 0, 8, 5, 3, 7)","(16, 13, 13, 1, 6, 6, 10, 18, 20)","(124, 178, 186, 150, 31, 42, 96, 15, 143)"
3,3,"(9,)","(17,)","(61,)"
3,4,"(4, 8, 9, 1, 3, 5, 7, 6, 0)","(2, 17, 1, 12, 2, 18, 20, 4, 2)","(126, 56, 25, 38, 62, 41, 26, 196, 184)"
4,0,"(0, 7)","(11, 7)","(104, 147)"
4,1,"(8, 0, 9, 3)","(2, 4, 2, 20)","(188, 181, 172, 12)"
4,2,"(0, 2, 8, 6, 9)","(2, 17, 5, 3, 8)","(43, 188, 60, 69, 165)"
4,3,"(2, 5, 9, 4, 0, 7, 8, 1, 6, 3)","(15, 15, 15, 2, 10, 3, 20, 6, 7, 12)","(34, 52, 157, 170, 138, 19, 43, 97, 47, 158)"
4,4,"(1, 2)","(16, 17)","(27, 150)"
4,5,"(6, 4, 9, 3, 0, 1, 8)","(7, 12, 18, 15, 1, 10, 2)","(14, 127, 151, 85, 23, 32, 146)"
4,6,"(0, 9, 8, 1, 2, 5, 4, 6, 3)","(8, 5, 1, 15, 2, 13, 20, 19, 10)","(89, 103, 28, 81, 187, 149, 145, 21, 18)"
4,7,"(3, 9, 6, 8, 4, 0, 2, 1, 5, 7)","(11, 20, 3, 11, 20, 11, 15, 19, 12, 7)","(10, 14, 38, 14, 85, 20, 129, 92, 147, 134)"
4,8,"(8, 0, 3, 5, 1, 9, 6, 7, 2)","(6, 11, 3, 20, 4, 8, 4, 12, 17)","(89, 188, 184, 110, 45, 96, 31, 152, 130)"
4,9,"(9, 1, 6, 7, 0, 3, 2, 5)","(20, 7, 15, 12, 8, 16, 13, 9)","(169, 188, 95, 194, 27, 192, 109, 29)"
5,0,"(1, 0, 5)","(8, 9, 16)","(195, 47, 185)"
5,1,"(0, 1, 2, 3, 9, 7)","(9, 13, 10, 11, 5, 15)","(15, 138, 131, 43, 99, 15)"
5,2,"(3, 6, 5, 2, 7)","(7, 17, 13, 1, 18)","(39, 78, 176, 76, 36)"
5,3,"(5, 3, 6)","(7, 9, 7)","(33, 114, 141)"
5,4,"(4, 2, 3, 0, 9, 7, 6, 1)","(6, 9, 16, 11, 11, 14, 4, 15)","(85, 109, 58, 46, 42, 50, 68, 90)"
6,0,"(2, 5, 4)","(11, 19, 6)","(18, 138, 162)"
6,1,"(8,)","(7,)","(74,)"
6,2,"(3, 7, 0, 8)","(4, 7, 11, 4)","(96, 128, 90, 145)"
6,3,"(0, 8, 2, 5, 3)","(8, 11, 20, 9, 2)","(199, 105, 33, 94, 155)"
6,4,"(5, 9)","(15, 8)","(158, 130)"
6,5,"(2, 3, 0, 4, 7, 6)","(9, 11, 9, 12, 13, 2)","(186, 156, 89, 184, 141, 75)"
6,6,"(4, 9, 8, 7, 3, 0, 2, 1)","(14, 18, 19, 19, 15, 15, 11, 5)","(90, 73, 77, 100, 121, 128, 61, 129)"
6,7,"(0, 6, 7, 4, 5, 1, 8, 3, 2, 9)","(14, 19, 15, 11, 4, 17, 14, 1, 14, 6)","(158, 184, 123, 166, 177, 172, 44, 64, 60, 28)"
7,0,"(0, 8, 1, 6, 7, 2, 4)","(1, 16, 10, 6, 7, 10, 13)","(104, 67, 161, 174, 39, 186, 35)"
7,1,"(0, 4, 1, 7, 3, 8, 9)","(13, 18, 8, 16, 8, 6, 10)","(49, 61, 166, 120, 143, 79, 86)"
7,2,"(3, 4, 6, 7, 1, 0, 9, 2, 8)","(9, 15, 11, 11, 5, 13, 15, 2, 8)","(153, 62, 108, 22, 191, 105, 90, 54, 91)"
7,3,"(3, 8, 7, 1, 6)","(9, 8, 2, 12, 3)","(119, 70, 191, 187, 55)"
7,4,"(0,)","(1,)","(31,)"
8,0,"(4, 0, 3, 7, 2, 9)","(16, 10, 3, 16, 4, 13)","(197, 114, 117, 46, 119, 50)"
8,1,"(7, 3, 1, 6, 8)","(17, 3, 4, 9, 4)","(50, 75, 164, 176, 117)"
8,2,"(0, 8, 2, 3, 4, 5)","(1, 19, 8, 6, 4, 5)","(73, 42, 127, 28, 150, 92)"
8,3,"(7, 3)","(17, 14)","(140, 193)"
8,4,"(4, 1, 5, 6, 7)","(15, 16, 5, 18, 9)","(176, 74, 192, 172, 106)"
8,5,"(4, 0, 5, 7, 6)","(1, 9, 8, 4, 7)","(55, 41, 174, 18, 111)"
