kind,task,machine_selectable,process_time,power
0,0,"(9, 4)","(9, 18)","(124, 31)"
0,1,"(6, 5, 2, 8)","(15, 7, 2, 16)","(165, 143, 158, 130)"
0,2,"(8, 3, 0, 6, 9, 5)","(9, 10, 2, 14, 5, 1)","(161, 29, 116, 128, 125, 62)"
0,3,"(3, 7, 9, 2, 4, 1)","(14, 7, 8, 1, 4, 9)","(74, 169, 59, 128, 80, 21)"
0,4,"(4, 6, 0, 2, 7, 5, 3, 9, 1)","(19, 1, 16, 20, 4, 13, 9, 7, 5)","(140, 125, 108, 145, 42, 157, 16, 148, 189)"
0,5,"(2, 4)","(11, 6)","(52, 20)"
0,6,"(4, 1, 0, 2)","(2, 6, 17, 1)","(76, 138, 157, 11)"
0,7,"(6, 8, 7, 0, 3, 1, 2, 5, 4, 9)","(2, 5, 20, 1, 8, 4, 2, 5, 6, 8)","(80, 82, 138, 196, 109, 73, 70, 44, 99, 24)"
0,8,"(4, 7)","(18, 1)","(170, 66)"
1,0,"(1, 6, 8, 4, 5, 2, 3)","(8, 16, 10, 14, 6, 15, 6)","(18, 33, 125, 76, 187, 62, 100)"
1,1,"(4,)","(2,)","(105,)"
1,2,"(6, 5, 1, 3, 0, 9, 8)","(12, 20, 8, 13, 17, 12, 12)","(178, 89, 73, 77, 125, 134, 21)"
1,3,"(0, 5, 1, 8, 7, 3, 2, 4, 9)","(15, 10, 4, 17, 11, 8, 2, 11, 14)","(107, 83, 186, 93, 161, 42, 38, 188, 178)"
1,4,"(4,)","(4,)","(82,)"
2,0,"(9, 4)","(9, 20)","(154, 34)"
2,1,"(0, 9, 6, 2, 7)","(13, 12, 18, 18, 16)","(106, 173, 38, 50, 75)"
2,2,"(3, 4)","(16, 10)","(189, 68)"
2,3,"(7, 5, 9, 0, 6, 8, 3)","(4, 3, 13, 1, 10, 11, 6)","(135, 41, 71, 85, 106, 188, 144)"
2,4,"(9, 5, 8)","(7, 15, 17)","(142, 54, 141)"
2,5,"(2, 7, 3, 9, 0, 6, 1, 5, 8)","(17, 14, 7, 8, 7, 10, 12, 11, 9)","(23, 132, 133, 150, 22, 44, 152, 43, 164)"
2,6,"(2, 9, 0, 1, 6, 3, 7, 8, 5, 4)","(20, 3, 12, 17, 17, 3, 3, 15, 19, 16)","(183, 137, 166, 24, 100, 138, 91, 168, 148, 36)"
2,7,"(3, 8, 2, 5, 6)","(3, 13, 17, 19, 17)","(74, 77, 182, 98, 34)"
3,0,"(3, 9, 2, 5)","(16, 5, 19, 11)","(86, 51, 185, 57)"
3,1,"(1, 4)","(14, 2)","(36, 118)"
3,2,"(4, 8, 5, 1)","(6, 3, 20, 9)","(123, 60, 14, 168)"
3,3,"(4, 1, 5, 8, 7)","(8, 4, 17, 1, 11)","(91, 70, 78, 200, 105)"
3,4,"(3,)","(15,)","(39,)"
3,5,"(6, 4, 5, 3, 8, 9, 2)","(11, 16, 15, 6, 10, 10, 3)","(11, 66, 164, 200, 69, 13, 39)"
4,0,"(9, 4, 1, 8, 7, 0, 2, 5, 3)","(16, 20, 2, 10, 14, 11, 15, 9, 12)","(151, 141, 188, 133, 59, 72, 92, 177, 43)"
4,1,"(4,)","(16,)","(38,)"
4,2,"(8, 1, 9, 7, 6, 3, 5, 2, 4, 0)","(2, 4, 7, 2, 20, 10, 4, 1, 12, 15)","(121, 194, 187, 105, 69, 195, 30, 13, 189, 12)"
4,3,"(6, 3, 8, 5, 2, 4)","(8, 19, 16, 6, 10, 9)","(76, 175, 16, 36, 12, 137)"
4,4,"(5, 0, 3, 7, 1, 2, 8)","(5, 18, 18, 3, 5, 7, 18)","(25, 61, 138, 145, 176, 153, 194)"
4,5,"(8, 3, 5, 0)","(17, 19, 8, 16)","(28, 148, 47, 100)"
4,6,"(5, 9, 2, 0)","(11, 2, 13, 1)","(154, 193, 87, 49)"
4,7,"(0,)","(16,)","(50,)"
5,0,"(3, 6)","(17, 14)","(188, 23)"
5,1,"(2, 8, 4, 0, 5)","(4, 19, 11, 20, 17)","(50, 102, 157, 106, 33)"
5,2,"(2, 3)","(17, 9)","(155, 159)"
5,3,"(9, 3, 2, 8, 6)","(4, 7, 6, 10, 3)","(66, 117, 169, 165, 157)"
5,4,"(6, 5, 2, 8)","(14, 5, 16, 7)","(130, 109, 46, 57)"
5,5,"(5, 9, 7, 4, 6, 3, 2, 0, 1)","(13, 18, 16, 16, 13, 13, 3, 1, 18)","(70, 23, 12, 175, 73, 195, 37, 72, 160)"
5,6,"(3, 7, 1, 5, 2)","(14, 17, 9, 18, 5)","(39, 72, 77, 89, 76)"
5,7,"(1, 6, 7, 8, 4, 9, 2)","(6, 1, 2, 20, 11, 18, 14)","(184, 84, 154, 99, 53, 140, 12)"
5,8,"(4,)","(14,)","(68,)"
5,9,"(5, 0, 3, 4)","(4, 15, 18, 17)","(176, 131, 87, 98)"
6,0,"(0, 4)","(13, 15)","(62, 151)"
6,1,"(7, 2, 6, 4, 8)","(1, 19, 8, 12, 6)","(20, 99, 137, 126, 43)"
6,2,"(0, 5, 9, 8, 7, 1, 3, 2, 6, 4)","(2, 20, 5, 5, 10, 13, 9, 16, 6, 13)","(87, 128, 35, 145, 135, 115, 55, 117, 107, 121)"
6,3,"(6, 4, 9, 3, 5, 2, 8)","(10, 18, 6, 5, 12, 19, 15)","(133, 184, 17, 35, 18, 171, 115)"
6,4,"(9, 8, 2, 0, 7)","(1, 18, 17, 13, 8)","(58, 156, 86, 123, 94)"
6,5,"(7, 4, 8, 5, 6, 2, 3, 9, 1)","(4, 14, 13, 15, 1, 17, 13, 11, 8)","(129, 170, 112, 137, 166, 97, 11, 66, 150)"
6,6,"(0, 1, 5, 7)","(2, 9, 11, 14)","(31, 56, 29, 15)"
6,7,"(1, 5, 9, 3)","(13, 5, 11, 12)","(178, 81, 176, 133)"
6,8,"(7, 6, 4, 3, 5, 1, 9)","(9, 10, 11, 10, 16, 11, 13)","(25, 28, 48, 92, 52, 49, 170)"
6,9,"(8, 2, 1, 3, 5, 6, 7, 0, 9)","(20, 5, 10, 14, 20, 4, 17, 11, 14)","(133, 95, 104, 81, 199, 55, 116, 176, 51)"
7,0,"(3, 6, 1, 7)","(11, 15, 1, 8)","(65, 198, 55, 135)"
7,1,"(1, 9, 7, 8, 5, 0, 4)","(19, 13, 8, 18, 5, 12, 1)","(46, 49, 38, 39, 131, 141, 64)"
7,2,"(3, 0)","(18, 18)","(102, 36)"
7,3,"(3, 4, 5, 8)","(5, 8, 10, 3)","(159, 43, 187, 51)"
7,4,"(6, 3, 1, 5, 7)","(16, 1, 13, 16, 8)","(12, 67, 146, 196, 66)"
7,5,"(0, 8, 3, 7)","(12, 14, 5, 7)","(163, 195, 103, 92)"
8,0,"(2, 1, 8, 7, 9, 6, 0, 5, 3, 4)","(11, 20, 11, 8, 11, 12, 19, 8, 15, 3)","(182, 29, 24, 152, 33, 42, 159, 137, 135, 189)"
8,1,"(4, 7, 1, 0, 9, 3, 8, 5, 6)","(5, 7, 9, 20, 6, 3, 16, 3, 10)","(60, 119, 35, 199, 78, 128, 46, 161, 186)"
8,2,"(6, 8, 1, 5, 0, 3, 2, 4)","(7, 6, 4, 5, 5, 18, 3, 5)","(121, 173, 112, 21, 168, 109, 43, 105)"
8,3,"(4, 9, 1, 8, 2, 0, 7, 3, 5)","(1, 11, 9, 6, 14, 6, 17, 15, 18)","(25, 180, 165, 200, 107, 61, 89, 118, 10)"
8,4,"(9, 0, 6, 1, 5, 8, 2)","(9, 20, 7, 3, 18, 17, 20)","(35, 113, 45, 181, 44, 10, 194)"
9,0,"(1, 3, 4, 5, 7)","(15, 15, 16, 2, 20)","(62, 30, 34, 160, 68)"
9,1,"(5, 3, 2, 8)","(15, 1, 7, 6)","(185, 68, 156, 165)"
9,2,"(4, 9, 7)","(18, 8, 14)","(71, 153, 178)"
9,3,"(4, 6, 2, 1)","(12, 9, 16, 12)","(80, 151, 174, 52)"
9,4,"(0, 2, 8, 4, 3, 6)","(14, 7, 14, 18, 13, 8)","(106, 73, 63, 198, 61, 42)"
