machine,idle_power,breakdown_start,breakdown_end
0,5,291,297
0,5,790,791
0,5,855,872
0,5,1227,1228
0,5,1511,1516
0,5,1748,1773
0,5,1773,1774
0,5,1780,1785
0,5,1809,1814
0,5,2097,2099
0,5,2477,2487
0,5,2652,2659
0,5,2996,2997
0,5,3079,3081
0,5,3092,3108
0,5,3182,3184
0,5,3507,3509
0,5,3583,3588
0,5,4075,4075
0,5,4077,4077
0,5,4140,4151
0,5,4739,4750
1,8,209,250
1,8,458,469
1,8,640,640
1,8,896,901
1,8,1046,1050
1,8,1282,1291
1,8,1299,1299
1,8,1423,1434
1,8,1574,1574
1,8,1721,1721
1,8,1795,1798
1,8,1956,1956
1,8,1983,1985
1,8,2187,2198
1,8,2239,2240
1,8,2879,2882
1,8,3134,3158
1,8,3376,3384
1,8,4024,4029
1,8,4526,4526
1,8,4695,4727
1,8,4883,4915
1,8,4965,4982
2,8,140,153
2,8,327,330
2,8,438,440
2,8,655,657
2,8,953,960
2,8,1221,1228
2,8,1368,1369
2,8,1435,1435
2,8,1455,1455
2,8,1905,1910
2,8,1968,1977
2,8,2483,2493
2,8,2951,2961
2,8,3090,3103
2,8,3783,3795
2,8,4017,4035
2,8,4071,4073
2,8,4254,4262
2,8,4423,4423
2,8,4508,4510
2,8,4703,4735
2,8,4839,4843
3,4,338,342
3,4,376,381
3,4,751,763
3,4,1056,1066
3,4,1236,1263
3,4,1387,1390
3,4,1390,1390
3,4,1813,1845
3,4,1891,1908
3,4,2023,2023
3,4,2080,2089
3,4,2149,2154
3,4,2264,2265
3,4,2511,2515
3,4,2582,2590
3,4,2847,2854
3,4,3560,3567
3,4,4014,4016
3,4,4031,4040
3,4,4121,4122
3,4,4871,4875
4,9,12,17
4,9,432,447
4,9,491,496
4,9,505,509
4,9,662,665
4,9,827,828
4,9,893,913
4,9,1097,1099
4,9,1171,1172
4,9,1253,1276
4,9,1300,1300
4,9,1308,1319
4,9,1371,1383
4,9,1437,1456
4,9,1739,1748
4,9,1816,1852
4,9,2037,2043
4,9,2088,2092
4,9,2155,2171
4,9,2249,2254
4,9,2264,2274
4,9,2305,2315
4,9,2516,2518
4,9,2919,2920
4,9,3074,3077
4,9,3216,3223
4,9,3258,3265
4,9,3266,3272
4,9,3558,3564
4,9,3640,3651
4,9,3788,3790
4,9,3989,3998
4,9,4071,4074
4,9,4417,4419
4,9,4433,4476
4,9,4679,4686
5,2,167,178
5,2,445,449
5,2,774,778
5,2,923,923
5,2,1024,1032
5,2,1262,1264
5,2,1369,1373
5,2,1399,1401
5,2,1557,1583
5,2,2003,2007
5,2,2312,2314
5,2,2439,2454
5,2,2508,2514
5,2,2574,2587
5,2,2727,2728
5,2,2781,2782
5,2,2857,2865
5,2,2912,2919
5,2,3052,3062
5,2,3207,3224
5,2,3344,3355
5,2,3357,3360
5,2,3478,3486
5,2,3745,3760
5,2,4276,4289
5,2,4394,4406
5,2,4733,4747
5,2,4750,4753
5,2,4831,4831
6,6,7,29
6,6,330,345
6,6,637,638
6,6,806,811
6,6,962,968
6,6,1481,1482
6,6,1551,1565
6,6,1797,1802
6,6,2063,2063
6,6,2326,2326
6,6,2347,2348
6,6,2462,2462
6,6,2557,2562
6,6,2574,2580
6,6,2745,2759
6,6,2917,2935
6,6,2987,3011
6,6,3262,3266
6,6,3300,3316
6,6,3433,3437
6,6,3464,3474
6,6,3787,3810
6,6,4175,4177
6,6,4282,4286
6,6,4365,4369
6,6,4402,4407
6,6,4557,4563
6,6,4834,4836
6,6,4919,4923
6,6,4956,4958
7,3,223,257
7,3,281,288
7,3,769,774
7,3,796,820
7,3,892,892
7,3,984,994
7,3,1145,1158
7,3,1653,1656
7,3,1940,1942
7,3,2318,2342
7,3,2541,2546
7,3,2633,2637
7,3,3314,3316
7,3,3583,3591
7,3,3891,3898
7,3,4663,4683
7,3,4717,4718
7,3,4771,4778
8,3,19,25
8,3,240,258
8,3,293,295
8,3,299,301
8,3,306,310
8,3,443,443
8,3,671,677
8,3,819,821
8,3,890,893
8,3,1430,1438
8,3,1678,1680
8,3,1886,1888
8,3,2141,2170
8,3,2300,2302
8,3,2406,2413
8,3,2470,2480
8,3,2486,2493
8,3,2828,2840
8,3,3071,3074
8,3,3090,3098
8,3,3246,3254
8,3,3357,3368
8,3,3640,3641
8,3,3793,3803
8,3,4215,4215
8,3,4422,4446
8,3,4511,4512
8,3,4863,4875
8,3,4889,4898
8,3,4991,4996
9,7,35,54
9,7,139,158
9,7,387,396
9,7,589,592
9,7,908,910
9,7,994,1000
9,7,1321,1333
9,7,1449,1473
9,7,1567,1577
9,7,1871,1873
9,7,1882,1900
9,7,1991,2008
9,7,2212,2235
9,7,2253,2266
9,7,2508,2516
9,7,2743,2747
9,7,2861,2895
9,7,2900,2905
9,7,3028,3040
9,7,3132,3138
9,7,3255,3261
9,7,3485,3490
9,7,3630,3633
9,7,3789,3791
9,7,3851,3853
9,7,4174,4176
9,7,4363,4363
9,7,4471,4485
9,7,4549,4559
9,7,4574,4577
9,7,4770,4796
