machine,idle_power,breakdown_start,breakdown_end
0,6,17,32
0,6,112,121
0,6,184,189
0,6,201,207
0,6,690,727
0,6,778,805
0,6,1058,1059
0,6,1184,1196
0,6,1571,1577
0,6,1814,1820
0,6,1820,1833
0,6,1922,1931
0,6,1985,1995
0,6,2049,2067
0,6,2367,2411
0,6,2502,2509
0,6,2523,2536
0,6,2624,2637
0,6,2798,2814
0,6,2972,2991
0,6,3062,3082
0,6,3229,3230
0,6,3399,3420
0,6,4179,4185
0,6,4387,4402
0,6,4532,4540
0,6,4579,4592
0,6,4605,4606
0,6,4724,4728
1,3,296,301
1,3,458,467
1,3,693,713
1,3,775,776
1,3,909,920
1,3,1170,1173
1,3,1188,1215
1,3,1230,1235
1,3,1430,1431
1,3,1798,1799
1,3,2075,2080
1,3,2255,2269
1,3,2403,2419
1,3,2549,2552
1,3,2950,2954
1,3,3399,3410
1,3,3613,3633
1,3,3907,3920
1,3,3934,3953
1,3,3981,3981
1,3,4423,4424
1,3,4534,4552
1,3,4603,4603
1,3,4824,4826
1,3,4953,4964
2,4,90,159
2,4,267,275
2,4,691,691
2,4,824,827
2,4,889,892
2,4,918,921
2,4,1214,1230
2,4,1310,1319
2,4,1378,1384
2,4,1426,1431
2,4,1547,1580
2,4,1669,1676
2,4,1745,1746
2,4,1757,1765
2,4,1802,1811
2,4,2165,2165
2,4,2343,2362
2,4,2674,2679
2,4,2926,2935
2,4,3065,3076
2,4,3355,3364
2,4,3589,3601
2,4,3623,3636
2,4,4158,4161
2,4,4191,4197
2,4,4665,4673
2,4,4855,4867
2,4,4996,5000
3,5,82,83
3,5,95,108
3,5,385,392
3,5,443,466
3,5,717,733
3,5,776,813
3,5,833,838
3,5,1279,1280
3,5,1512,1542
3,5,2082,2089
3,5,2133,2139
3,5,2186,2190
3,5,2529,2540
3,5,2706,2739
3,5,2980,2983
3,5,3040,3041
3,5,3348,3348
3,5,3404,3423
3,5,3585,3595
3,5,3675,3680
3,5,3681,3686
3,5,3869,3880
3,5,4003,4023
3,5,4172,4176
3,5,4384,4405
3,5,4462,4463
3,5,4507,4507
3,5,4764,4772
3,5,4841,4848
4,4,211,221
4,4,1054,1071
4,4,1171,1174
4,4,1418,1420
4,4,1614,1618
4,4,1648,1663
4,4,1866,1871
4,4,2632,2639
4,4,2641,2648
4,4,3001,3003
4,4,3861,3873
4,4,4588,4609
4,4,4615,4629
5,8,358,366
5,8,473,484
5,8,866,884
5,8,1212,1220
5,8,1418,1433
5,8,2176,2180
5,8,2199,2205
5,8,2430,2430
5,8,2613,2614
5,8,3358,3372
5,8,3769,3801
5,8,4036,4037
5,8,4345,4346
5,8,4359,4368
5,8,4457,4461
5,8,4506,4511
5,8,4752,4773
5,8,4870,4897
6,3,143,145
6,3,302,302
6,3,430,443
6,3,450,450
6,3,628,646
6,3,854,857
6,3,874,887
6,3,943,951
6,3,1497,1500
6,3,1826,1864
6,3,2190,2203
6,3,2467,2487
6,3,2585,2600
6,3,2723,2724
6,3,3141,3153
6,3,3227,3227
6,3,3280,3281
6,3,3593,3613
6,3,3723,3725
6,3,4073,4092
6,3,4280,4280
6,3,4357,4382
6,3,4828,4844
7,2,83,89
7,2,195,230
7,2,494,500
7,2,608,609
7,2,886,897
7,2,1253,1259
7,2,1475,1484
7,2,1632,1633
7,2,1666,1672
7,2,1811,1831
7,2,1974,1979
7,2,2072,2073
7,2,2217,2228
7,2,2290,2307
7,2,2668,2669
7,2,3239,3247
7,2,3257,3267
7,2,3278,3280
7,2,3421,3450
7,2,3469,3473
7,2,3502,3502
7,2,3514,3514
7,2,3599,3606
7,2,3675,3691
7,2,3834,3834
7,2,3990,3990
7,2,4162,4164
7,2,4563,4588
7,2,4669,4678
7,2,4993,4998
8,1,41,45
8,1,453,472
8,1,584,585
8,1,634,639
8,1,673,699
8,1,771,784
8,1,854,854
8,1,915,922
8,1,962,972
8,1,988,990
8,1,1014,1031
8,1,1542,1565
8,1,1574,1592
8,1,1825,1838
8,1,1988,1997
8,1,2057,2067
8,1,2328,2340
8,1,2426,2426
8,1,2534,2547
8,1,2708,2723
8,1,3000,3002
8,1,3322,3326
8,1,4282,4283
8,1,4358,4358
9,1,60,69
9,1,122,133
9,1,137,145
9,1,312,351
9,1,477,481
9,1,537,539
9,1,611,613
9,1,626,631
9,1,1375,1377
9,1,1773,1780
9,1,1867,1873
9,1,1950,1963
9,1,2099,2100
9,1,2365,2383
9,1,2462,2472
