kind,task,machine_selectable,process_time,power
0,0,"(10, 6, 1, 12, 0, 13, 4, 19, 8, 3, 14, 18, 7, 16, 2, 17, 15)","(17, 15, 8, 5, 15, 14, 20, 19, 8, 5, 7, 1, 5, 4, 1, 2, 7)","(168, 169, 177, 142, 165, 45, 130, 178, 154, 98, 184, 79, 162, 174, 190, 115, 168)"
0,1,"(5, 8, 15, 7, 0, 4, 17, 19, 13, 2)","(15, 9, 13, 16, 20, 15, 19, 5, 3, 5)","(113, 153, 27, 195, 151, 161, 76, 47, 68, 13)"
0,2,"(15, 9, 7, 16, 17, 13, 5, 14)","(15, 15, 11, 15, 19, 6, 3, 20)","(152, 169, 93, 181, 186, 158, 121, 153)"
0,3,"(5, 8, 17)","(15, 9, 8)","(74, 34, 111)"
0,4,"(16, 9, 5, 0, 19, 17, 15, 13, 2, 8, 3, 1, 18, 12, 14, 4, 11, 7, 6, 10)","(5, 11, 3, 17, 9, 16, 14, 3, 15, 11, 18, 16, 4, 11, 8, 3, 5, 19, 3, 2)","(39, 54, 200, 194, 150, 197, 104, 109, 100, 16, 59, 148, 103, 189, 63, 125, 197, 104, 110, 156)"
0,5,"(12, 9, 15, 17, 18, 11, 16, 3)","(17, 16, 8, 17, 16, 12, 17, 16)","(130, 50, 168, 22, 32, 22, 45, 177)"
0,6,"(17, 14, 4, 19, 10, 6, 15, 1, 12, 9, 5, 8, 13)","(20, 7, 8, 6, 7, 18, 16, 15, 8, 20, 19, 16, 5)","(15, 169, 196, 45, 32, 58, 160, 51, 142, 158, 107, 176, 137)"
0,7,"(17, 13, 15, 16, 5, 8, 14, 10, 6, 3)","(14, 16, 9, 7, 17, 7, 7, 14, 12, 2)","(192, 197, 188, 146, 66, 109, 165, 149, 125, 192)"
1,0,"(18, 19, 6, 17, 1, 10)","(4, 16, 10, 15, 9, 4)","(195, 155, 84, 151, 106, 83)"
1,1,"(8, 4, 0)","(13, 11, 14)","(109, 131, 52)"
1,2,"(7, 19)","(8, 17)","(24, 49)"
1,3,"(0, 12, 9, 5, 15, 4, 8, 3, 17, 1, 2, 19)","(9, 4, 1, 17, 13, 7, 14, 6, 15, 14, 17, 11)","(39, 17, 157, 109, 102, 137, 174, 173, 13, 172, 166, 49)"
1,4,"(18, 9, 1, 17, 8, 11, 12, 10, 0, 7, 6, 5, 15, 2, 4, 14, 13, 3, 16, 19)","(14, 12, 8, 3, 5, 3, 10, 4, 6, 15, 19, 11, 7, 18, 2, 2, 4, 15, 14, 19)","(141, 12, 142, 31, 143, 24, 92, 49, 187, 135, 52, 128, 146, 100, 88, 85, 173, 162, 31, 64)"
2,0,"(2, 5, 3, 7, 12, 6)","(16, 1, 4, 6, 9, 3)","(118, 200, 171, 120, 52, 180)"
2,1,"(18, 7, 4, 10, 2, 19)","(7, 11, 18, 2, 16, 19)","(90, 58, 41, 39, 179, 76)"
2,2,"(16, 8, 13, 17, 5, 4, 15, 2, 19, 9, 0, 3, 7, 6, 12, 10, 11)","(5, 14, 4, 15, 1, 13, 3, 10, 1, 13, 3, 19, 8, 15, 18, 3, 9)","(61, 61, 72, 29, 181, 88, 43, 34, 156, 16, 25, 140, 143, 78, 42, 182, 51)"
2,3,"(3, 19, 6, 12, 1, 18)","(20, 11, 15, 8, 6, 20)","(112, 56, 98, 82, 21, 186)"
2,4,"(17, 16, 8, 13, 14, 4, 19, 3, 2, 11, 10, 12)","(18, 3, 1, 10, 4, 16, 11, 7, 13, 13, 2, 11)","(110, 100, 42, 60, 179, 117, 46, 66, 177, 34, 190, 82)"
2,5,"(14, 9, 7, 15, 1, 0, 13, 12, 8, 5, 18, 11, 3, 19)","(11, 10, 3, 2, 11, 1, 7, 16, 10, 14, 14, 2, 18, 7)","(170, 12, 187, 176, 56, 177, 61, 57, 165, 92, 15, 36, 13, 144)"
2,6,"(9, 3, 12, 19, 17, 16, 15, 13)","(1, 12, 13, 20, 13, 17, 2, 14)","(122, 169, 28, 149, 121, 148, 112, 140)"
2,7,"(1, 15, 0, 4, 12, 6, 14, 8, 10, 17, 2, 3, 11, 7, 13, 16, 19)","(13, 20, 2, 1, 5, 19, 7, 19, 5, 11, 2, 16, 16, 9, 6, 5, 10)","(119, 150, 25, 53, 143, 173, 184, 174, 40, 74, 138, 52, 19, 159, 52, 193, 168)"
2,8,"(15, 4)","(2, 7)","(37, 48)"
2,9,"(2, 16, 12, 9, 3, 13, 7)","(13, 19, 1, 7, 5, 8, 8)","(193, 163, 144, 103, 72, 187, 81)"
3,0,"(14, 13, 7, 10, 0, 8, 1, 15, 6, 9, 11, 5, 3, 16)","(20, 3, 8, 18, 1, 20, 11, 19, 7, 9, 16, 13, 6, 20)","(63, 69, 125, 172, 31, 144, 21, 105, 35, 26, 116, 35, 34, 50)"
3,1,"(16, 11, 19, 14, 4, 0, 9, 15, 8, 10, 7, 3, 5, 12, 1, 2, 6)","(12, 7, 14, 4, 16, 19, 6, 15, 8, 15, 1, 10, 9, 8, 7, 12, 1)","(37, 185, 92, 80, 115, 150, 120, 173, 144, 149, 176, 163, 135, 179, 96, 169, 89)"
3,2,"(14, 4, 13, 1, 19, 6, 18, 11)","(14, 11, 4, 11, 12, 16, 14, 20)","(68, 19, 132, 10, 129, 154, 93, 139)"
3,3,"(6, 4, 19, 2, 13, 14)","(12, 16, 4, 1, 18, 15)","(49, 200, 162, 77, 158, 160)"
3,4,"(2, 7, 4, 10, 18, 16, 9)","(2, 12, 7, 15, 2, 19, 4)","(199, 161, 23, 140, 62, 160, 82)"
3,5,"(5, 18, 15, 1, 8, 14)","(10, 20, 19, 1, 2, 18)","(117, 52, 52, 146, 121, 91)"
4,0,"(14, 12, 18, 9, 6, 10, 11, 13, 1, 2, 15, 16, 4, 3, 0, 7, 8, 17)","(15, 19, 8, 13, 1, 5, 7, 4, 20, 6, 20, 12, 8, 15, 14, 20, 1, 3)","(23, 82, 89, 65, 135, 24, 113, 178, 37, 133, 42, 44, 117, 25, 153, 44, 66, 196)"
4,1,"(10,)","(13,)","(175,)"
4,2,"(13, 4, 17, 16, 0, 19, 1, 6, 18, 12)","(14, 6, 14, 15, 1, 9, 18, 11, 11, 10)","(85, 19, 165, 46, 125, 143, 113, 100, 63, 96)"
4,3,"(13, 1, 0, 5)","(20, 8, 18, 15)","(27, 174, 43, 130)"
4,4,"(13,)","(4,)","(119,)"
4,5,"(1, 8, 0, 6, 14, 16, 10, 17, 7, 5)","(4, 14, 12, 20, 14, 10, 13, 18, 12, 11)","(70, 28, 133, 77, 50, 11, 165, 46, 159, 92)"
4,6,"(8, 14, 9, 11, 1, 7, 13, 0, 3, 18, 5, 2, 4, 15, 10)","(19, 7, 17, 14, 18, 17, 11, 17, 7, 16, 14, 13, 9, 1, 14)","(57, 109, 135, 14, 126, 96, 176, 130, 136, 40, 93, 145, 75, 33, 16)"
4,7,"(12, 4, 2, 15, 3, 5, 19, 14, 11, 0, 13, 6, 18, 1, 8, 7, 16)","(14, 16, 17, 18, 20, 12, 12, 12, 4, 20, 13, 16, 7, 12, 15, 11, 8)","(115, 74, 163, 199, 162, 67, 188, 112, 34, 35, 190, 144, 172, 41, 71, 141, 118)"
4,8,"(7, 10, 3, 17, 11)","(15, 2, 2, 11, 5)","(114, 54, 172, 137, 97)"
